Graph Info:	./input_data/sphere/t_8.txt	Number of Vertices	13124
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	6142	1.60563	35.04	9	1.99840	64.54	56	1.95383	94.32
1	5996	1.55683	46.62	5	1.99886	103.13	17	1.99612	94.10
2	7466	1.28271	50.23	9	1.99840	89.43	103	1.95708	128.99
3	6142	1.60563	55.85	9	1.99840	68.81	64	1.98236	95.40
4	7058	1.12442	41.93	9	1.86997	72.67	83	1.83960	78.33
5	7010	1.11937	29.43	7	1.99863	76.68	84	1.98082	80.26
6	5750	1.84333	28.33	11	1.99817	95.97	32	1.99068	86.16
7	6002	1.55764	31.99	5	1.99886	79.00	104	1.98398	114.89
8	5762	1.76758	31.11	5	1.99886	87.96	56	1.98663	79.57
9	7058	1.12442	38.78	7	1.99863	93.68	81	1.98149	81.35
10	6840	1.21822	29.62	12	1.98749	62.80	57	1.98550	102.38
11	5750	1.84333	30.16	5	1.99886	55.15	32	1.99272	86.41
12	7058	1.12442	44.73	7	1.99863	66.80	84	1.98082	79.19
13	7010	1.11937	45.88	7	1.99863	78.32	90	1.96411	74.52
14	5830	1.78244	29.83	12	1.87692	104.13	33	1.87585	71.35
15	5762	1.76758	27.75	5	1.99886	60.18	56	1.98663	102.79
16	5790	1.86750	28.51	5	1.99886	56.80	7	1.99795	89.83
17	7058	1.12442	60.17	9	1.86997	62.79	83	1.83960	72.37
18	5804	1.87223	29.93	5	1.99886	74.53	10	1.99726	86.42
19	7010	1.11937	29.07	11	1.99817	57.70	104	1.97526	111.39
20	5762	1.76758	26.19	5	1.99886	51.51	56	1.98663	77.41
21	6002	1.55764	37.95	12	1.79430	66.00	105	1.77570	71.25
22	7252	1.23519	43.97	7	1.99863	76.02	81	1.96542	67.62
23	5804	1.87223	26.96	9	1.99840	73.28	12	1.99703	85.16
24	7058	1.12442	29.21	10	1.99795	54.89	83	1.97321	111.85
25	5786	1.84875	32.81	5	1.99886	63.50	7	1.99795	88.48
26	7058	1.12442	37.90	7	1.99863	53.89	81	1.98149	70.09
27	5762	1.76758	46.47	5	1.99886	92.97	56	1.98731	69.78
28	5806	1.87253	41.81	5	1.99886	88.60	7	1.99795	70.93
29	6002	1.55764	29.45	10	1.79566	79.91	114	1.77062	78.11
30	6142	1.60563	27.60	10	1.99795	76.33	64	1.97765	94.19
31	7068	1.18812	28.99	5	1.99886	87.17	10	1.99726	84.15
