Graph Info:	sphere_Tetrahedron	Number of Vertices	118100
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	62622	1.20905	395.74	5	1.99987	698.84	4	1.99992	886.79	354	1.99134	936.99	4	1.00000	1953.57
1	52896	1.25481	316.23	9	1.99982	624.29	6	1.89277	791.73	290	1.98912	903.18	6	1.07692	1210.51
2	52896	1.25481	348.61	5	1.99987	589.50	5	1.39997	718.85	210	1.99337	835.97	5	1.00005	1158.40
3	58674	1.34293	345.63	7	1.99985	585.27	5	1.97239	691.16	412	1.98414	847.91	5	1.91884	1139.46
4	55260	1.74704	345.43	7	1.99985	553.85	5	1.91884	677.02	67	1.99779	832.88	5	1.76917	1145.42
5	48002	1.77021	359.49	11	1.87102	559.28	5	1.76917	691.22	13	1.87086	847.97	5	1.39997	1159.08
6	59058	1.33613	376.44	5	1.99987	560.11	5	1.76917	693.20	331	1.99227	876.54	4	1.00000	1140.11
7	57282	1.37048	356.52	5	1.99987	572.79	4	1.99992	776.51	249	1.99330	861.47	4	1.00000	1154.77
8	55188	1.29703	349.55	5	1.99987	565.29	5	1.39997	731.99	10	1.99970	841.99	5	1.00005	1121.29
9	47768	1.76631	356.84	7	1.99985	562.89	5	1.76917	754.02	58	1.99848	891.42	5	1.39997	1124.48
10	52896	1.25481	361.95	9	1.99982	564.84	6	1.89277	714.96	200	1.99471	826.74	5	1.03773	1124.24
11	56652	1.70631	357.10	7	1.99985	553.46	5	1.97239	691.54	198	1.99473	826.87	5	1.91884	1128.50
12	63426	1.19632	356.91	5	1.99987	552.08	5	1.76917	701.54	248	1.99335	827.94	4	1.00000	1108.50
13	48002	1.77021	345.95	7	1.99985	550.75	5	1.76917	794.58	9	1.99975	835.78	5	1.39997	1142.43
14	47150	1.75435	333.37	11	1.54341	645.50	5	1.76917	774.53	140	1.54619	981.39	6	1.00000	1340.91
15	60960	1.24420	315.08	9	1.99982	563.36	6	1.89277	792.41	450	1.89712	837.13	5	1.03773	1151.51
16	62718	1.20763	357.98	5	1.99987	560.33	4	1.99992	783.58	248	1.99335	845.92	4	1.00000	1126.98
17	62706	1.20781	348.87	9	1.99982	568.29	6	1.91591	666.04	272	1.99290	843.28	6	1.04201	1138.20
18	47150	1.75435	332.40	12	1.82038	570.02	7	1.73795	678.67	107	1.81808	871.64	5	1.39997	1158.63
19	63426	1.19632	353.48	5	1.99987	579.47	4	1.99992	766.16	248	1.99335	824.27	4	1.00000	1155.43
20	63474	1.19563	353.71	5	1.99987	573.08	4	1.99992	754.94	223	1.99431	848.48	4	1.00000	1143.11
21	57282	1.37048	330.68	11	1.99980	555.58	7	1.96030	682.10	274	1.98743	906.58	5	1.76917	1213.79
22	48002	1.77021	336.23	10	1.85352	593.77	5	1.76917	777.60	12	1.85336	846.64	5	1.39997	1173.41
23	57282	1.37048	342.24	13	1.99977	595.51	9	1.92893	760.36	250	1.98803	836.42	5	1.39997	1140.94
24	60960	1.24420	373.34	11	1.82860	567.44	6	1.74569	674.34	428	1.81928	875.69	6	1.15999	1138.32
25	55260	1.74704	339.46	11	1.99980	578.58	7	1.96030	665.59	58	1.99833	864.92	5	1.76917	1155.92
26	57282	1.37048	358.09	12	1.79668	575.00	6	1.69994	703.11	229	1.79117	839.29	6	1.24998	1177.69
27	54642	1.28870	341.33	9	1.99982	574.35	6	1.91591	685.81	56	1.99835	823.34	5	1.03773	1179.31
28	55410	1.29997	333.04	5	1.99987	574.87	4	1.99992	764.95	7	1.99977	857.35	5	1.00005	1170.19
29	57282	1.37048	357.91	11	1.78006	613.36	5	1.91884	762.74	229	1.77559	912.47	6	1.24998	1221.03
30	57282	1.37048	339.52	5	1.99987	618.97	5	1.76917	758.55	224	1.99426	917.63	4	1.00000	1185.17
31	57282	1.37048	407.42	5	1.99987	631.31	4	1.99992	1088.23	249	1.99330	912.14	4	1.00000	1133.21
