Graph Info:	./input_data/sphere/c_3.txt	Number of Vertices	110
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	54	1.15789	0.85	8	1.45833	1.49	8	1.45833	3.34
1	54	1.15789	0.71	8	1.40816	4.42	8	1.36000	4.03
2	51	1.55556	0.70	8	1.00000	1.45	11	1.01667	2.78
3	51	1.55556	0.84	8	1.00000	1.36	11	1.01667	2.55
4	54	1.15789	0.81	8	1.40816	1.49	8	1.36000	1.12
5	54	1.15789	0.45	8	1.00000	0.82	8	1.00000	0.96
6	54	1.15789	0.72	8	1.03448	1.30	8	1.03448	4.62
7	54	1.15789	0.70	8	1.03448	2.89	8	1.00000	1.84
8	51	1.55556	5.19	8	1.36000	1.03	11	1.28302	1.69
9	54	1.15789	0.40	8	1.00000	1.07	8	1.00000	1.24
10	54	1.15789	0.41	8	1.00000	1.89	8	1.00000	1.79
11	56	1.44118	0.68	8	1.03448	1.21	8	1.00000	17.55
12	56	1.44118	0.58	8	1.36000	0.91	8	1.31373	1.08
13	56	1.44118	0.41	8	1.03448	2.27	8	1.00000	1.50
14	56	1.44118	0.58	8	1.03448	1.03	8	1.00000	1.27
15	51	1.55556	0.42	8	1.03448	0.76	11	1.05085	1.00
16	54	1.15789	3.35	8	1.45833	2.58	8	1.45833	1.45
17	51	1.55556	0.49	8	1.00000	0.85	11	1.01667	2.78
18	56	1.44118	1.88	8	1.36000	1.14	8	1.31373	1.28
19	56	1.44118	0.44	8	1.36000	0.87	8	1.31373	2.71
20	54	1.07595	0.60	7	1.38776	5.88	7	1.38776	1.31
21	51	1.55556	0.65	8	1.03448	1.22	11	1.05085	2.41
22	54	1.15789	0.58	8	1.45833	1.19	8	1.45833	1.13
23	51	1.55556	0.66	8	1.03448	1.14	11	1.05085	2.01
24	56	1.44118	0.56	8	1.36000	1.20	8	1.31373	1.69
25	54	1.15789	0.43	8	1.03448	0.83	8	1.03448	2.57
26	56	1.44118	0.55	8	1.36000	1.71	8	1.31373	1.39
27	54	1.15789	1.11	8	1.03448	0.87	8	1.03448	1.08
28	54	1.15789	0.69	8	1.45833	2.85	8	1.45833	6.52
29	54	1.15789	0.53	8	1.40816	1.23	8	1.36000	1.93
30	56	1.44118	0.47	7	1.85366	0.95	7	1.78571	20.76
31	56	1.44118	0.70	7	1.85366	1.47	7	1.78571	1.40
