Graph Info:	sphere_Cube	Number of Vertices	2918
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	1497	1.24225	12.61	9	1.06563	14.86	6	1.00000	24.70	11	1.06268	45.79	8	1.00137	57.77
1	1392	1.39444	8.21	10	1.04612	12.25	7	1.01863	13.94	33	1.03377	17.85	6	1.00000	22.72
2	1261	1.48602	5.87	11	1.39885	12.21	8	1.36349	14.93	20	1.39251	27.80	13	1.18405	72.28
3	1491	1.24605	21.64	9	1.02561	30.89	6	1.00000	31.08	14	1.02068	28.08	8	1.00137	94.92
4	1166	1.77069	26.36	10	1.06488	19.33	7	1.00068	23.22	10	1.06342	25.59	12	1.65639	59.84
5	1130	1.74627	18.89	12	1.45394	43.97	9	1.02561	27.99	33	1.44288	18.56	6	1.39869	17.61
6	1267	1.48074	4.41	9	1.43511	8.40	6	1.00000	10.43	11	1.43071	12.57	11	1.18256	16.94
7	1267	1.48074	3.95	11	1.52065	14.58	8	1.01793	15.33	11	1.51849	24.38	12	1.18494	43.51
8	1261	1.48602	13.33	11	1.51632	18.90	8	1.47756	19.28	14	1.51243	16.42	13	1.18405	23.30
9	1329	1.29816	3.96	10	1.08399	8.33	7	1.05696	11.52	57	1.08772	12.40	6	1.00000	22.93
10	1267	1.48074	13.27	7	1.99386	30.90	6	1.39869	27.45	12	1.98675	32.45	10	1.40000	17.91
11	1491	1.24605	4.70	9	1.02561	9.16	6	1.00000	11.57	14	1.02068	19.66	8	1.00137	19.41
12	1267	1.48074	6.14	9	1.43511	17.33	6	1.00000	35.78	14	1.42715	30.14	11	1.18256	57.96
13	1130	1.74627	4.49	12	1.08838	8.30	9	1.02141	10.83	33	1.09142	10.38	14	1.65339	16.57
14	1497	1.24225	3.12	9	1.02561	7.79	6	1.00000	10.58	11	1.02279	15.67	8	1.00137	37.37
15	1392	1.39444	11.54	10	1.04612	12.84	7	1.01863	26.44	33	1.03377	24.02	6	1.00000	13.09
16	1497	1.24225	4.19	9	1.06563	7.87	6	1.00000	9.20	11	1.06268	10.14	8	1.00137	15.21
17	1130	1.74627	4.43	12	1.05182	7.32	9	1.02561	8.87	33	1.05073	13.09	14	1.65339	51.02
18	1329	1.29816	17.21	10	1.00685	38.67	7	1.01863	22.23	15	1.00205	29.17	12	1.65639	30.31
19	1497	1.24225	7.99	9	1.02561	37.98	6	1.00000	43.61	14	1.02068	36.49	8	1.00137	27.41
20	1261	1.48602	6.51	11	1.40674	15.34	8	1.05911	9.12	14	1.40328	9.81	12	1.18494	15.02
21	1329	1.29816	4.01	10	1.00823	18.30	7	1.05696	17.01	57	1.00337	28.93	6	1.00000	20.96
22	1329	1.29816	10.83	10	1.08399	17.76	7	1.05696	11.77	12	1.08097	8.76	6	1.00000	11.95
23	1156	1.76391	3.09	10	1.05907	6.55	7	1.00617	8.29	19	1.05528	9.10	12	1.65639	12.99
24	1267	1.48074	3.19	9	1.43511	6.41	6	1.39869	13.99	11	1.43071	16.67	11	1.18256	36.92
25	1392	1.39444	11.25	10	1.04612	19.23	7	1.01863	18.63	33	1.03377	14.63	6	1.00000	14.60
26	1267	1.48074	4.29	9	1.43511	9.47	6	1.39869	10.85	11	1.43071	12.29	11	1.18256	23.96
27	1491	1.24605	5.51	11	1.08321	22.17	8	1.05622	26.29	11	1.08173	31.23	10	1.00274	31.87
28	1267	1.48074	3.55	9	1.06563	6.60	6	1.00000	9.06	11	1.06268	10.05	10	1.00274	13.74
29	1491	1.24605	3.83	9	1.06563	7.88	6	1.00000	8.96	20	1.05598	8.82	8	1.00137	13.24
30	1497	1.24225	5.73	9	1.06563	15.99	6	1.00000	12.30	11	1.06268	18.39	8	1.00137	29.96
31	1329	1.29816	4.20	10	1.40789	13.91	7	1.37226	17.84	12	1.40361	17.82	6	1.00000	13.67
