Graph Info:	./input_data/sphere/c_5.txt	Number of Vertices	974
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	397	1.74749	17.00	10	1.01639	26.86	10	1.01227	14.97
1	397	1.74749	5.36	8	1.43069	6.95	10	1.41769	8.29
2	497	1.54939	3.11	10	1.08034	6.62	10	1.07595	10.87
3	385	1.72345	15.67	7	1.98176	6.35	12	1.96096	14.31
4	497	1.54939	3.54	10	1.01639	15.83	10	1.01227	9.24
5	497	1.54939	3.87	11	1.05637	9.59	11	1.05208	11.28
6	497	1.54939	5.13	10	1.00000	10.21	13	1.00203	20.46
7	387	1.72745	14.39	10	1.51020	22.29	10	1.50382	20.54
8	506	1.12034	7.76	9	1.40342	46.57	30	1.34579	37.87
9	420	1.40345	4.84	10	1.51662	9.54	42	1.45411	8.45
10	497	1.54939	48.17	9	1.06513	33.60	11	1.05637	40.91
11	471	1.05256	7.46	11	1.03934	7.30	44	1.02386	7.08
12	387	1.72745	15.44	7	1.98176	6.26	9	1.96979	15.25
13	385	1.72345	4.60	10	1.39416	22.65	13	1.38406	39.11
14	387	1.72745	3.48	10	1.03306	20.21	10	1.03306	16.61
15	497	1.54939	26.89	8	1.02474	10.18	10	1.01639	27.10
16	385	1.72345	5.65	10	1.39416	12.87	13	1.38406	8.92
17	471	1.05256	2.77	11	1.03934	10.04	44	1.02386	7.30
18	471	1.05256	14.58	12	1.00000	4.81	44	1.00394	11.10
19	397	1.74749	3.73	10	1.41769	8.66	10	1.41176	14.14
20	387	1.72745	7.65	8	1.43069	11.09	10	1.41769	15.64
21	471	1.05256	4.92	11	1.03934	12.07	44	1.02386	30.02
22	497	1.54939	4.70	8	1.02474	15.18	10	1.01639	15.63
23	387	1.72745	6.27	7	1.98176	5.76	9	1.96979	5.97
24	420	1.40345	3.82	9	1.04366	5.48	42	1.04839	11.42
25	387	1.72745	3.46	10	1.03306	6.76	10	1.03306	9.03
26	387	1.72745	2.82	11	1.40244	15.66	11	1.39659	8.13
27	397	1.74749	5.18	10	1.41769	9.39	10	1.41176	9.62
28	428	1.41724	6.31	10	1.05858	24.71	36	1.04040	48.18
29	428	1.41724	8.08	10	1.05858	13.66	36	1.04040	32.78
30	430	1.42069	3.99	9	1.02263	20.09	33	1.01804	9.59
31	397	1.74749	17.24	9	1.06513	12.00	11	1.05637	14.35
