Graph Info:	./input_data/cylinder/2.txt	Number of Vertices	33
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	0.10	5	1.71429	0.17	3	1.00000	0.50
1	3	1.00000	0.11	5	1.71429	0.17	3	1.00000	0.10
2	3	1.00000	0.08	5	1.71429	0.15	3	1.00000	0.09
3	3	1.00000	0.07	5	1.71429	0.16	3	1.00000	0.09
4	6	1.16667	0.08	3	1.40000	0.19	6	1.00000	0.10
5	6	1.16667	0.12	4	1.46667	0.19	6	1.00000	0.10
6	3	1.00000	0.07	5	1.71429	0.15	3	1.00000	0.10
7	6	1.16667	0.07	4	1.46667	0.15	6	1.00000	0.11
8	3	1.00000	0.07	5	1.71429	0.22	3	1.00000	0.11
9	6	1.16667	0.08	3	1.40000	0.17	6	1.00000	0.10
10	3	1.00000	0.20	5	1.71429	0.17	3	1.00000	0.10
11	6	1.16667	0.05	3	1.40000	0.12	6	1.00000	0.08
12	6	1.16667	0.07	4	1.46667	0.18	6	1.00000	0.10
13	3	1.00000	0.07	5	1.71429	0.15	3	1.00000	0.11
14	6	1.16667	0.14	3	1.00000	0.39	6	1.00000	0.16
15	6	1.16667	0.08	3	1.40000	0.14	6	1.00000	0.09
16	3	1.00000	0.07	5	1.71429	0.32	3	1.00000	0.14
17	3	1.00000	0.07	5	1.71429	0.14	3	1.00000	0.06
18	6	1.16667	0.05	3	1.40000	0.09	6	1.00000	0.06
19	6	1.16667	0.05	4	1.64286	0.09	6	1.00000	0.08
20	6	1.16667	0.05	4	1.46667	0.09	6	1.00000	0.06
21	6	1.16667	0.05	3	1.40000	0.08	6	1.00000	0.06
22	6	1.16667	0.15	3	1.40000	0.74	6	1.00000	0.15
23	3	1.00000	0.08	5	1.71429	0.23	3	1.00000	0.14
24	6	1.16667	0.10	4	1.64286	0.18	6	1.00000	0.13
25	6	1.16667	0.08	4	1.64286	0.21	6	1.00000	0.07
26	6	1.16667	0.05	3	1.40000	0.11	6	1.00000	0.06
27	6	1.16667	0.05	3	1.40000	0.08	6	1.00000	0.06
28	6	1.16667	0.06	4	1.64286	0.14	6	1.00000	0.08
29	3	1.00000	0.05	5	1.71429	0.12	3	1.00000	0.06
30	3	1.00000	0.05	5	1.71429	0.09	3	1.00000	0.06
31	6	1.16667	0.05	3	1.40000	0.13	6	1.00000	0.11
