Graph Info:	./input_data/cylinder/3.txt	Number of Vertices	303
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.01961	0.70	5	1.96154	3.08	6	1.00000	1.28
1	3	1.00000	0.52	5	1.96154	1.03	3	1.00000	0.68
2	3	1.00000	0.43	5	1.96154	0.83	3	1.00000	0.63
3	6	1.01961	0.38	5	1.96154	0.79	6	1.00000	0.47
4	6	1.01961	0.35	3	1.42857	0.84	6	1.00000	0.58
5	3	1.00000	0.39	5	1.96154	0.95	3	1.00000	0.68
6	3	1.00000	0.41	5	1.96154	0.85	3	1.00000	0.67
7	3	1.00000	0.40	5	1.96154	0.93	3	1.00000	0.68
8	3	1.00000	0.39	5	1.96154	0.90	3	1.00000	0.64
9	3	1.00000	0.39	5	1.96154	0.85	3	1.00000	0.52
10	3	1.00000	0.42	5	1.96154	0.93	3	1.00000	0.67
11	3	1.00000	0.50	5	1.96154	0.93	3	1.00000	0.56
12	3	1.00000	0.38	5	1.96154	0.75	3	1.00000	0.48
13	3	1.00000	0.36	5	1.96154	0.75	3	1.00000	0.47
14	3	1.00000	0.46	5	1.96154	0.87	3	1.00000	0.59
15	6	1.01961	0.49	3	1.21739	1.07	6	1.00000	1.23
16	6	1.01961	0.79	5	1.96154	1.78	6	1.00000	1.27
17	6	1.01961	1.02	5	1.96154	1.78	6	1.00000	1.30
18	6	1.01961	1.05	5	1.96154	1.86	6	1.00000	1.13
19	3	1.00000	0.73	5	1.96154	1.61	3	1.00000	1.10
20	3	1.00000	0.60	5	1.96154	1.12	3	1.00000	1.04
21	3	1.00000	0.60	5	1.96154	1.59	3	1.00000	1.23
22	6	1.01961	0.78	3	1.08163	1.51	6	1.00000	1.28
23	6	1.01961	0.74	5	1.96154	1.71	6	1.00000	1.12
24	3	1.00000	0.83	5	1.96154	1.50	3	1.00000	1.07
25	6	1.01961	0.74	3	1.48780	1.43	6	1.00000	1.05
26	6	1.01961	0.87	5	1.96154	1.62	6	1.00000	1.13
27	6	1.01961	0.53	3	1.61538	0.84	6	1.00000	0.56
28	6	1.01961	0.38	3	1.91429	0.77	6	1.00000	0.46
29	6	1.01961	0.40	3	1.42857	0.80	6	1.00000	0.53
30	6	1.01961	0.44	3	1.26667	0.82	6	1.00000	0.54
31	6	1.01961	0.79	5	1.96154	1.84	6	1.00000	1.32
