Graph Info:	./input_data/cylinder/4.txt	Number of Vertices	3003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	12.86	5	1.99602	34.96	3	1.00000	15.04
1	3	1.00000	7.84	5	1.99602	17.11	3	1.00000	10.34
2	3	1.00000	8.88	5	1.99602	29.43	3	1.00000	19.91
3	3	1.00000	12.70	5	1.99602	31.01	3	1.00000	21.15
4	3	1.00000	14.04	5	1.99602	32.53	3	1.00000	24.06
5	3	1.00000	8.34	5	1.99602	18.69	3	1.00000	10.97
6	3	1.00000	7.74	5	1.99602	29.30	3	1.00000	16.19
7	3	1.00000	13.81	5	1.99602	31.37	3	1.00000	15.52
8	6	1.00200	8.12	3	1.88761	15.59	6	1.00000	12.55
9	6	1.00200	7.47	3	1.13646	16.81	6	1.00000	18.65
10	3	1.00000	13.46	5	1.99602	30.58	3	1.00000	15.02
11	6	1.00200	10.40	3	1.92128	23.41	6	1.00000	11.47
12	6	1.00200	7.08	3	1.29291	16.34	6	1.00000	15.69
13	3	1.00000	13.83	5	1.99602	31.09	3	1.00000	21.26
14	3	1.00000	7.27	5	1.99602	16.29	3	1.00000	15.99
15	3	1.00000	16.05	5	1.99602	36.23	3	1.00000	28.21
16	6	1.00200	23.70	3	1.02016	34.82	6	1.00000	14.88
17	6	1.00200	7.83	3	1.10947	16.95	6	1.00000	11.29
18	3	1.00000	13.51	5	1.99602	32.09	3	1.00000	23.53
19	6	1.00200	13.50	3	1.46192	28.25	6	1.00000	12.04
20	6	1.00200	7.83	3	1.39713	17.23	6	1.00000	11.64
21	3	1.00000	18.18	5	1.99602	22.58	3	1.00000	10.97
22	3	1.00000	7.26	5	1.99602	18.34	3	1.00000	10.58
23	3	1.00000	7.27	5	1.99602	14.78	3	1.00000	4.55
24	3	1.00000	3.86	5	1.99602	8.84	3	1.00000	4.95
25	6	1.00200	3.41	3	1.21681	8.32	6	1.00000	4.23
26	3	1.00000	3.41	5	1.99602	8.19	3	1.00000	4.38
27	6	1.00200	3.43	3	1.12288	8.97	6	1.00000	4.86
28	6	1.00200	3.92	5	1.99602	15.56	6	1.00000	7.06
29	3	1.00000	11.48	5	1.99602	18.08	3	1.00000	16.91
30	6	1.00200	8.14	3	1.05749	12.28	6	1.00000	5.21
31	6	1.00200	3.79	3	1.08750	16.44	6	1.00000	4.69
