Graph Info:	./input_data/cylinder/unsymm/2.txt	Number of Vertices	303
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	0.75	144	1.56897	1.17	45	1.78400	1.21	3	1.00000	0.62	3	1.00000	1.57
1	3	1.00000	0.44	3	1.97087	0.85	4	1.00654	1.07	3	1.00000	0.89	3	1.94231	1.86
2	3	1.01316	0.49	4	1.95192	0.75	3	1.00000	0.96	3	1.00000	0.56	3	1.91429	1.47
3	3	1.01316	0.37	3	1.94231	0.78	4	1.00654	1.08	3	1.00000	0.59	3	1.91429	1.76
4	3	1.00000	0.56	3	1.97087	0.78	4	1.00654	0.97	3	1.00000	0.69	3	1.94231	1.32
5	3	1.01316	0.29	4	1.95192	0.64	3	1.00000	1.06	3	1.00000	0.68	3	1.91429	1.27
6	6	1.03289	0.35	79	1.70922	0.71	3	1.40945	1.07	6	1.00000	0.50	3	1.01316	1.18
7	3	1.01316	0.36	3	1.94231	0.61	4	1.00654	0.84	3	1.00000	0.66	3	1.91429	1.68
8	6	1.03289	0.35	63	1.75188	0.81	3	1.13986	1.27	6	1.00000	0.46	3	1.00000	1.13
9	4	1.01974	0.38	127	1.60606	0.57	27	1.86957	0.73	4	1.00000	0.40	3	1.01316	1.06
10	6	1.03289	0.27	43	1.81301	0.52	3	1.11034	0.66	6	1.00000	0.38	3	1.15493	1.14
11	6	1.03289	0.34	90	1.67347	1.03	3	1.63793	1.14	6	1.00000	0.59	3	1.00000	1.55
12	3	1.01316	0.40	3	1.94231	0.80	4	1.00654	1.10	3	1.00000	0.58	3	1.91429	1.44
13	6	1.03289	0.42	48	1.78571	0.71	3	1.04000	1.11	6	1.00000	0.64	3	1.08163	1.76
14	3	1.00000	0.45	3	1.97087	0.77	4	1.00654	1.48	3	1.00000	0.88	3	1.94231	1.54
15	6	1.03289	0.32	3	1.97087	0.68	3	1.94231	0.81	6	1.00000	0.47	3	1.94231	1.42
16	3	1.01316	0.35	173	1.53191	0.86	73	1.72464	1.21	3	1.00000	0.90	3	1.01316	2.22
17	3	1.01316	0.57	4	1.95192	0.94	3	1.00000	1.31	3	1.00000	0.89	3	1.91429	1.88
18	6	1.03289	0.45	49	1.79365	0.84	3	1.02649	1.07	6	1.00000	0.59	3	1.06757	1.57
19	6	1.03289	0.29	26	1.86087	0.68	3	1.39063	1.29	6	1.00000	1.01	3	1.44800	1.95
20	6	1.03289	0.47	45	1.80645	0.98	3	1.08163	1.54	6	1.00000	0.62	3	1.12500	1.42
21	3	1.00000	0.31	162	1.54098	1.20	63	1.73134	0.77	3	1.00000	0.37	3	1.00000	1.06
22	6	1.03289	0.27	99	1.66225	0.52	3	1.85981	0.69	6	1.00000	0.40	3	1.00000	1.07
23	6	1.03289	0.33	3	1.94231	0.73	4	1.00654	0.85	6	1.00000	0.56	3	1.91429	1.24
24	6	1.03289	0.30	3	1.94231	0.55	4	1.00654	0.91	6	1.00000	0.49	3	1.91429	1.31
25	3	1.01316	0.42	145	1.57471	0.81	45	1.80645	0.96	3	1.00000	0.56	3	1.01316	1.77
26	6	1.03289	0.47	114	1.62264	0.89	15	1.89091	1.22	6	1.00000	0.47	3	1.00000	1.00
27	6	1.03289	0.27	46	1.79200	0.51	3	1.06757	0.65	6	1.00000	0.39	3	1.11034	1.06
28	3	1.01316	0.27	139	1.58480	0.54	39	1.82645	0.72	3	1.00000	0.39	3	1.01316	1.01
29	6	1.03289	0.27	104	1.64286	0.53	5	1.93333	0.70	6	1.00000	0.37	3	1.01316	1.06
30	6	1.03289	0.29	115	1.62893	0.56	15	1.91743	0.75	6	1.00000	0.38	3	1.01316	1.12
31	6	1.03289	0.28	3	1.97087	0.57	4	1.00654	0.76	6	1.00000	0.41	3	1.94231	1.11
