Graph Info:	./input_data/cylinder/symm/3.txt	Number of Vertices	3003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	15.51	6	1.99403	51.14	5	1.99602	55.30	3	1.00000	54.33	4	1.98610	136.06
1	6	1.00200	24.95	6	1.99403	24.62	3	1.85470	60.81	6	1.00000	33.33	4	1.98610	81.51
2	3	1.00000	9.98	6	1.99403	40.37	5	1.99602	63.25	3	1.00000	46.47	4	1.98610	64.81
3	3	1.00000	11.98	6	1.99403	20.59	6	1.99403	66.03	3	1.00000	82.65	4	1.98610	39.44
4	6	1.00200	13.61	6	1.99403	20.93	5	1.99602	24.32	6	1.00000	9.17	4	1.98610	89.01
5	6	1.00200	13.70	6	1.99403	22.57	3	1.45588	20.12	6	1.00000	6.81	4	1.98610	52.63
6	3	1.00000	13.53	6	1.99403	12.23	6	1.99403	27.01	3	1.00000	5.97	4	1.98610	28.48
7	3	1.00000	4.84	6	1.99403	10.23	5	1.99602	18.24	3	1.00000	6.60	4	1.98610	16.82
8	3	1.00000	3.38	6	1.99403	8.02	6	1.99403	10.12	3	1.00000	5.10	4	1.98610	61.25
9	6	1.00200	5.58	6	1.99403	36.66	3	1.67200	22.89	6	1.00000	11.65	4	1.98610	24.95
10	3	1.00000	4.02	6	1.99403	8.81	6	1.99403	11.82	3	1.00000	7.60	4	1.98610	52.31
11	6	1.00200	12.32	6	1.99403	9.81	5	1.99602	16.72	6	1.00000	23.79	4	1.98610	18.76
12	3	1.00000	3.93	6	1.99403	7.05	6	1.99403	9.87	3	1.00000	5.94	4	1.98610	20.10
13	6	1.00200	9.82	6	1.99403	22.80	5	1.99602	18.09	6	1.00000	27.60	4	1.98610	34.38
14	3	1.00000	4.13	6	1.99403	8.06	6	1.99403	11.02	3	1.00000	9.20	4	1.98610	19.79
15	3	1.00000	7.97	6	1.99403	34.31	6	1.99403	33.13	3	1.00000	14.17	4	1.98610	30.89
16	6	1.00200	3.93	6	1.99403	7.49	5	1.99602	10.04	6	1.00000	5.35	4	1.98610	16.48
17	6	1.00200	3.39	6	1.99403	9.80	3	1.43204	18.97	6	1.00000	20.98	4	1.98610	54.07
18	6	1.00200	12.71	6	1.99403	12.41	5	1.99602	16.98	6	1.00000	8.35	4	1.98610	32.44
19	3	1.00000	6.18	6	1.99403	21.42	6	1.99403	26.74	3	1.00000	17.19	4	1.98610	39.05
20	3	1.00000	7.65	6	1.99403	9.99	6	1.99403	8.36	3	1.00000	4.14	4	1.98610	15.57
21	6	1.00200	3.70	6	1.99403	6.56	3	1.11392	9.30	6	1.00000	5.14	4	1.98610	15.33
22	6	1.00200	3.25	6	1.99403	7.05	5	1.99602	10.10	6	1.00000	5.64	4	1.98610	36.70
23	6	1.00200	4.75	6	1.99403	15.97	3	1.10504	34.99	6	1.00000	12.12	4	1.98610	16.14
24	3	1.00000	3.65	6	1.99403	7.23	5	1.99602	10.33	3	1.00000	5.27	4	1.98610	15.32
25	6	1.00200	5.32	6	1.99403	7.51	5	1.99602	20.81	6	1.00000	16.27	4	1.98610	45.52
26	3	1.00000	7.41	6	1.99403	15.39	5	1.99602	9.19	3	1.00000	4.13	4	1.98610	15.61
27	6	1.00200	3.33	6	1.99403	6.90	5	1.99602	8.91	6	1.00000	4.69	4	1.98610	15.13
28	6	1.00200	3.67	6	1.99403	13.71	3	1.10504	26.92	6	1.00000	16.66	4	1.98610	38.19
29	6	1.00200	6.20	6	1.99403	10.05	5	1.99602	10.54	6	1.00000	4.54	4	1.98610	15.12
30	3	1.00000	3.13	6	1.99403	11.26	6	1.99403	12.43	3	1.00000	5.34	4	1.98610	47.28
31	3	1.00000	16.99	6	1.99403	31.60	6	1.99403	31.81	3	1.00000	8.42	4	1.98610	33.98
