Graph Info:	./input_data/cylinder/symm/1.txt	Number of Vertices	33
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.16667	10.45	6	1.60000	3.91	3	1.00000	3.04	6	1.00000	1.15	4	1.17647	3.40
1	6	1.16667	0.58	6	1.60000	0.87	4	1.64286	1.07	6	1.00000	0.70	4	1.17647	3.42
2	6	1.16667	0.47	6	1.60000	1.32	3	1.40000	0.86	6	1.00000	0.72	4	1.17647	1.76
3	3	1.00000	0.44	6	1.60000	1.18	5	1.71429	1.09	3	1.00000	1.08	4	1.17647	1.74
4	3	1.00000	0.35	6	1.60000	0.84	5	1.71429	1.03	3	1.00000	0.71	4	1.17647	1.41
5	6	1.16667	0.38	6	1.60000	0.87	4	1.46667	2.30	6	1.00000	0.64	4	1.17647	1.93
6	6	1.16667	0.47	6	1.60000	1.51	4	1.46667	1.60	6	1.00000	0.58	4	1.17647	2.19
7	6	1.16667	0.42	6	1.60000	1.02	4	1.46667	1.08	6	1.00000	0.49	4	1.17647	1.31
8	6	1.16667	0.42	6	1.60000	0.68	3	1.40000	3.37	6	1.00000	0.32	4	1.17647	2.14
9	3	1.00000	0.36	6	1.60000	0.62	6	1.60000	0.85	3	1.00000	0.44	4	1.17647	0.90
10	6	1.16667	0.27	6	1.60000	0.44	3	1.40000	0.68	6	1.00000	0.60	4	1.17647	1.19
11	3	1.00000	0.32	6	1.60000	0.64	5	1.71429	1.20	3	1.00000	1.06	4	1.17647	1.42
12	6	1.16667	6.38	6	1.60000	0.75	4	1.46667	1.03	6	1.00000	0.49	4	1.17647	1.23
13	3	1.00000	0.34	6	1.60000	3.20	5	1.71429	0.89	3	1.00000	8.82	4	1.17647	1.42
14	3	1.00000	0.39	6	1.60000	0.64	5	1.71429	1.97	3	1.00000	0.49	4	1.17647	0.97
15	6	1.16667	0.31	6	1.60000	0.54	4	1.64286	0.73	6	1.00000	0.45	4	1.17647	0.95
16	6	1.16667	0.31	6	1.60000	0.57	3	1.40000	0.90	6	1.00000	0.39	4	1.17647	1.01
17	3	1.00000	0.27	6	1.60000	0.64	5	1.71429	1.23	3	1.00000	0.39	4	1.17647	0.98
18	3	1.00000	0.27	6	1.60000	0.56	6	1.60000	0.55	3	1.00000	0.42	4	1.17647	1.07
19	3	1.00000	1.42	6	1.60000	0.62	6	1.60000	0.69	3	1.00000	0.46	4	1.17647	5.80
20	3	1.00000	0.24	6	1.60000	0.44	5	1.71429	0.59	3	1.00000	1.05	4	1.17647	0.88
21	3	1.00000	0.26	6	1.60000	0.52	5	1.71429	0.65	3	1.00000	0.37	4	1.17647	0.79
22	3	1.00000	0.18	6	1.60000	0.40	6	1.60000	0.56	3	1.00000	0.28	4	1.17647	0.76
23	6	1.16667	0.18	6	1.60000	11.14	4	1.64286	0.87	6	1.00000	0.39	4	1.17647	1.65
24	6	1.16667	0.21	6	1.60000	0.42	4	1.46667	2.44	6	1.00000	0.63	4	1.17647	2.69
25	6	1.16667	0.19	6	1.60000	0.39	3	1.00000	0.58	6	1.00000	0.30	4	1.17647	8.11
26	6	1.16667	2.33	6	1.60000	0.52	4	1.64286	1.28	6	1.00000	1.86	4	1.17647	2.81
27	6	1.16667	0.18	6	1.60000	0.32	4	1.64286	0.58	6	1.00000	0.19	4	1.17647	0.51
28	6	1.16667	0.15	6	1.60000	0.38	4	1.46667	1.35	6	1.00000	0.35	4	1.17647	0.92
29	3	1.00000	0.84	6	1.60000	0.73	5	1.71429	0.63	3	1.00000	1.68	4	1.17647	2.36
30	6	1.16667	0.26	6	1.60000	0.47	3	1.40000	0.57	6	1.00000	0.31	4	1.17647	0.75
31	3	1.00000	6.36	6	1.60000	0.60	5	1.71429	1.78	3	1.00000	1.03	4	1.17647	0.99
