Graph Info:	./input_data/cylinder/rnd/3.txt	Number of Vertices	3003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	16.81	3	1.99701	36.20	3	1.99701	61.03	3	1.00466	53.90	3	1.99402	127.10
1	6	1.00333	8.36	3	1.99701	21.31	3	1.95866	42.34	6	1.00466	30.31	3	1.99402	67.50
2	15	1.00798	9.73	3	1.99701	16.69	3	1.02152	59.50	15	1.00466	58.61	3	1.99402	77.38
3	6	1.00333	9.86	3	1.99701	15.94	3	1.95866	20.20	6	1.00466	10.52	3	1.99402	47.86
4	12	1.00599	14.85	3	1.99701	64.12	3	1.78591	23.13	12	1.00466	10.68	3	1.99402	28.00
5	13	1.00000	8.07	3	1.99701	12.68	3	1.69838	13.94	13	1.00466	8.28	3	1.99402	36.66
6	3	1.00000	16.75	3	1.99701	22.62	3	1.99701	30.27	3	1.00466	12.85	3	1.99402	23.80
7	3	1.00000	3.59	3	1.99701	9.34	3	1.99701	13.41	3	1.00466	7.24	3	1.99402	21.62
8	17	1.01065	7.69	3	1.99701	17.14	3	1.95866	24.16	17	1.00466	16.15	3	1.99402	27.17
9	3	1.00000	3.82	3	1.99701	7.91	3	1.99701	10.55	3	1.00466	5.43	3	1.99402	16.22
10	11	1.00000	3.58	3	1.99701	7.12	3	1.94129	8.65	11	1.00466	6.64	3	1.99402	27.11
11	6	1.00333	10.84	3	1.99701	19.98	3	1.95866	25.83	6	1.00466	13.35	3	1.99402	35.83
12	8	1.00199	5.84	3	1.99701	9.99	3	1.15484	9.03	8	1.00466	5.14	3	1.99402	15.16
13	6	1.00333	3.44	3	1.99701	7.32	3	1.95866	10.42	6	1.00466	6.28	3	1.99402	27.55
14	12	1.00465	8.18	3	1.99701	16.30	3	1.99701	18.96	12	1.00466	16.22	3	1.99402	21.61
15	9	1.00399	4.26	3	1.99701	8.82	3	1.95866	10.10	9	1.00466	5.07	3	1.99402	14.12
16	6	1.00333	3.44	3	1.99701	7.37	3	1.95866	11.38	6	1.00466	4.92	3	1.99402	25.41
17	6	1.00333	3.43	3	1.99701	17.74	3	1.95866	15.76	6	1.00466	7.90	3	1.99402	23.90
18	6	1.00333	5.46	3	1.99701	6.32	3	1.97919	6.88	6	1.00466	5.02	3	1.99402	13.69
19	10	1.00466	3.45	3	1.99701	6.78	3	1.06882	8.30	10	1.00466	4.60	3	1.99402	21.21
20	3	1.00000	3.14	3	1.99701	9.19	3	1.99701	15.59	3	1.00466	4.96	3	1.99402	38.23
21	3	1.00000	10.45	3	1.99701	20.13	3	1.99701	19.02	3	1.00466	7.40	3	1.99402	24.66
22	12	1.00199	6.85	3	1.99701	12.98	3	1.65782	15.79	12	1.00466	13.01	3	1.99402	37.16
23	3	1.00000	10.49	3	1.99701	21.88	3	1.99701	17.40	3	1.00466	6.56	3	1.99402	15.22
24	6	1.00333	3.87	3	1.99701	8.06	3	1.95866	9.80	6	1.00466	4.86	3	1.99402	14.74
25	3	1.00000	3.74	3	1.99701	7.07	3	1.99701	10.96	3	1.00466	9.09	3	1.99402	21.11
26	3	1.00000	3.78	3	1.99701	14.09	3	1.99701	25.74	3	1.00466	9.84	3	1.99402	22.38
27	6	1.00333	4.32	3	1.99701	6.91	3	1.95866	9.91	6	1.00466	5.61	3	1.99402	19.18
28	6	1.00333	3.18	3	1.99701	6.34	3	1.95866	9.32	6	1.00466	4.14	3	1.99402	28.05
29	6	1.00333	6.43	3	1.99701	15.10	3	1.95866	17.19	6	1.00466	11.48	3	1.99402	23.69
30	6	1.00333	3.09	3	1.99701	6.60	3	1.95866	8.88	6	1.00466	6.62	3	1.99402	19.78
31	6	1.00333	6.62	3	1.99701	9.36	3	1.95866	10.07	6	1.00466	4.80	3	1.99402	25.84
