Graph Info:	Sphere_Cube_12	Number of Vertices	974, Regsion Size	200
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	8	30.01	8	37.27
1	8	22.20	8	35.82
2	8	21.60	8	46.17
3	8	43.46	8	49.51
4	8	20.42	8	33.75
5	8	20.47	8	62.60
6	8	36.07	8	43.02
7	8	31.66	8	36.89
8	8	20.71	8	63.80
9	8	38.12	8	36.95
10	8	20.57	8	33.59
11	8	20.72	8	43.16
12	8	40.10	8	57.38
13	8	31.15	8	34.46
14	8	20.61	8	75.34
15	8	27.91	8	35.20
