Graph Info:	./input_data/grids/3.txt	Number of Vertices	5963
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	222	1.07064	37.20	67	1.68597	32.04	67	1.64706	45.40	137	1.46266	44.22	218	1.05212	58.43
1	250	1.02774	21.92	76	1.97195	55.43	76	1.93440	59.03	159	1.58640	56.96	247	1.02676	111.85
2	234	1.02914	26.94	68	1.63362	31.93	68	1.00699	35.19	149	1.52458	53.90	232	1.02849	90.72
3	214	1.00227	12.61	68	1.60856	30.79	68	1.00033	34.62	191	1.04180	46.00	218	1.05212	108.52
4	222	1.07064	13.21	67	1.68597	41.36	67	1.64706	49.00	135	1.46883	97.64	218	1.05212	57.73
5	216	1.04062	12.99	67	1.68597	25.28	67	1.64706	39.14	180	1.16990	68.87	218	1.05212	65.48
6	215	1.03224	12.36	68	1.60856	20.04	68	1.00033	33.06	188	1.07804	67.70	218	1.05212	53.86
7	214	1.07073	11.99	67	1.68597	22.35	67	1.64706	28.24	168	1.28769	54.74	218	1.05212	70.18
8	231	1.00518	10.46	68	1.96218	19.36	68	1.04164	21.59	136	1.83806	28.56	228	1.00421	85.95
9	294	1.03612	22.09	105	1.96724	34.40	79	1.93586	35.18	209	1.43279	30.13	261	1.07813	58.60
10	408	1.03157	16.46	85	1.97784	33.31	68	1.01571	24.89	169	1.53808	26.57	113	1.59436	38.02
11	262	1.02769	10.85	68	1.97680	28.69	68	1.00966	45.65	152	1.56179	48.06	258	1.02903	38.09
12	404	1.08072	12.77	92	1.80454	20.10	68	1.00100	45.66	188	1.44670	47.79	122	1.37881	50.06
13	306	1.05003	9.70	86	1.33462	21.77	68	1.22464	24.45	188	1.05376	92.00	302	1.04872	59.96
14	299	1.00064	11.62	90	1.87553	20.76	68	1.97240	31.50	201	1.35988	46.95	295	1.00192	86.91
15	372	1.10465	15.74	88	1.91334	33.13	68	1.00166	35.05	184	1.50796	35.92	118	1.45598	79.43
16	257	1.06233	14.48	98	1.08210	29.36	75	1.95401	23.22	202	1.06463	24.82	242	1.08012	31.65
17	223	1.00065	13.78	68	1.60856	44.71	90	1.97299	44.78	186	1.04898	29.99	218	1.05212	36.43
18	253	1.00387	11.03	65	1.97092	22.79	65	1.89668	35.59	176	1.37761	69.36	249	1.00516	47.31
19	296	1.04142	9.85	88	1.93453	17.48	68	1.33398	22.63	200	1.41876	62.52	292	1.04012	82.98
20	310	1.06485	19.64	101	1.14959	28.70	86	1.96520	44.67	195	1.01242	45.32	262	1.00161	48.70
21	350	1.03842	8.55	68	1.97094	19.16	68	1.43185	21.84	187	1.41745	24.42	80	1.68220	64.08
22	254	1.08414	21.20	76	1.42725	39.58	68	1.00100	21.91	159	1.25821	24.53	84	1.56773	35.60
23	313	1.02191	9.00	68	1.97240	43.43	68	1.13638	40.69	187	1.50713	42.24	80	1.68339	35.09
24	238	1.04182	10.90	67	1.68597	18.98	74	1.97243	36.26	151	1.37899	46.01	218	1.05212	51.03
25	222	1.07064	8.21	67	1.69076	19.34	67	1.65405	20.49	139	1.50698	23.44	220	1.07136	46.98
26	255	1.01556	18.11	69	1.98171	36.27	69	1.98171	44.15	171	1.43703	26.12	251	1.01426	30.49
27	234	1.02914	9.48	67	1.68597	30.44	68	1.36417	38.56	143	1.53888	39.42	218	1.05212	34.78
28	313	1.02126	10.11	91	1.90918	19.81	69	1.95976	27.82	199	1.43461	28.94	157	1.37026	63.02
29	248	1.07656	14.04	67	1.89070	28.71	67	1.86189	19.23	142	1.70013	22.93	246	1.07589	42.74
30	332	1.07687	10.60	77	1.96660	32.23	68	1.00232	40.66	143	1.59278	46.23	99	1.56973	36.09
31	234	1.02914	8.77	68	1.60856	21.18	68	1.00033	26.75	143	1.41439	48.28	218	1.05212	60.46
