Graph Info:	./input_data/random/3.txt	Number of Vertices	5003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	2171	1.13575	45.29	5	1.99701	92.94	35	1.97930	130.23
1	2358	1.08704	72.45	7	1.95924	53.72	27	1.93466	51.95
2	2187	1.28908	27.98	8	1.34050	88.17	20	1.34172	47.92
3	1978	1.20918	11.01	5	1.35007	19.24	70	1.36393	29.91
4	1870	1.60341	18.58	6	1.05119	49.09	73	1.04677	75.61
5	2284	1.22097	11.21	6	1.32544	20.09	15	1.32530	26.73
6	1999	1.20050	8.89	12	1.96220	31.76	42	1.93655	46.92
7	2046	1.43237	17.86	6	1.19116	23.23	77	1.15803	21.02
8	1993	1.39098	8.64	7	1.30451	15.80	53	1.29297	28.91
9	2170	1.13609	16.97	5	1.99701	44.48	25	1.99108	53.32
10	1960	1.29121	16.11	11	1.99522	22.96	55	1.95617	30.49
11	2045	1.43286	13.12	10	1.98215	38.72	31	1.96118	63.08
12	2040	1.19613	21.74	5	1.99701	27.64	30	1.98872	20.52
13	1961	1.22279	8.22	8	1.44082	15.20	61	1.38643	23.23
14	2052	1.40949	19.01	7	1.24563	36.21	129	1.22357	42.42
15	2233	1.01336	12.22	7	1.87931	16.63	41	1.85617	19.91
16	2048	1.19316	9.09	5	1.99701	15.00	78	1.91844	19.27
17	1981	1.20524	8.50	5	1.35007	27.75	47	1.35322	40.72
18	1870	1.60341	15.69	7	1.79888	29.80	19	1.78690	26.78
19	2091	1.40883	9.30	8	1.24306	16.04	26	1.23412	19.63
20	2095	1.16534	8.73	9	1.87221	19.32	47	1.96188	41.05
21	1918	1.40730	20.35	6	1.96918	34.18	81	1.86423	31.76
22	1926	1.23660	9.18	8	1.44082	15.55	59	1.39905	22.62
23	2087	1.43392	9.62	7	1.74973	15.03	34	1.73899	23.21
24	2005	1.32130	17.44	6	1.84118	34.22	35	1.83512	47.76
25	2004	1.41039	15.40	7	1.98926	18.39	13	1.98927	18.52
26	2157	1.14051	16.48	5	1.99701	19.24	34	1.98224	34.26
27	2062	1.49031	21.91	8	1.97565	40.29	35	1.94792	36.39
28	2003	1.22131	9.96	9	1.35970	23.89	80	1.36639	34.17
29	2012	1.54075	14.63	6	1.97977	47.73	136	1.89684	58.23
30	2087	1.43392	17.91	7	1.74973	25.95	36	1.73561	31.38
31	2029	1.18453	12.53	8	1.44082	43.10	43	1.41435	65.70
