Graph Info:	./input_data/cylinder/unsymm/3.txt	Number of Vertices	3003, Regsion Size	200
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	23	150.65	24	143.78
1	23	137.71	24	159.55
2	23	144.29	23	141.98
3	23	158.99	23	148.80
4	23	142.61	24	161.98
5	23	139.80	24	148.14
6	23	155.39	24	149.28
7	23	140.06	24	161.20
8	23	135.93	24	156.59
9	23	145.48	24	152.48
10	23	129.26	23	153.83
11	23	141.90	24	152.31
12	23	154.22	24	149.53
13	23	137.90	24	156.99
14	23	146.29	24	143.19
15	23	159.89	24	155.05
