Graph Info:	Number of Vertices	3003
		Exact LCA
	Separator Size	Balance Ratio	Runtime (ms)
1060	3	1.82785	62.93
1061	3	1.83051	104.37
1062	3	1.81724	68.41
1063	3	1.81989	65.88
1064	3	1.82254	136.58
1065	3	1.80935	53.46
1066	3	1.81197	99.05
1067	3	1.81461	40.91
1068	3	1.80149	35.42
1069	3	1.80410	32.60
1070	3	1.80672	28.36
1071	3	1.79368	24.09
1072	3	1.79628	21.88
1073	3	1.79888	21.76
1074	3	1.78591	20.58
1075	3	1.78850	20.12
1076	3	1.79109	24.36
1077	3	1.77819	26.99
1078	3	1.78076	28.72
1079	3	1.78333	33.31
1080	3	1.77051	27.51
1081	3	1.77306	30.79
1082	3	1.77562	25.59
1083	3	1.76287	21.98
1084	3	1.76541	30.12
1085	3	1.76796	32.18
1086	3	1.75527	33.61
1087	3	1.75780	23.43
1088	3	1.76033	20.47
1089	3	1.74771	19.45
1090	3	1.75023	30.80
1091	3	1.75275	71.86
1092	3	1.74020	87.24
1093	3	1.74270	96.59
1094	3	1.74521	60.84
1095	3	1.73273	27.12
1096	3	1.73521	35.42
1097	3	1.73770	39.10
1098	3	1.72529	35.79
1099	3	1.72777	26.39
1100	3	1.73025	24.96
1101	3	1.71790	23.50
1102	3	1.72036	22.65
1103	3	1.72283	27.33
1104	3	1.71055	22.59
1105	3	1.71300	22.34
1106	3	1.71545	21.66
1107	3	1.70324	20.50
1108	3	1.70567	54.68
1109	3	1.70811	26.52
1110	3	1.69596	23.76
1111	3	1.69838	22.46
1112	3	1.70081	23.40
1113	3	1.68873	26.02
1114	3	1.69114	21.87
1115	3	1.69355	30.31
1116	3	1.68153	69.93
1117	3	1.68393	39.40
1118	3	1.68633	34.22
1119	3	1.67438	30.61
1120	3	1.67676	32.86
1121	3	1.67914	44.55
1122	3	1.66726	22.63
1123	3	1.66963	26.59
1124	3	1.67200	27.54
1125	3	1.66018	29.05
1126	3	1.66253	45.75
1127	3	1.66489	29.98
1128	3	1.65313	23.11
1129	3	1.65548	18.44
1130	3	1.65782	25.70
1131	3	1.64613	20.36
1132	3	1.64846	25.63
1133	3	1.65079	24.16
1134	3	1.63916	21.36
1135	3	1.64148	35.29
1136	3	1.64380	19.41
1137	3	1.63222	26.31
1138	3	1.63453	24.61
1139	3	1.63684	24.67
1140	3	1.62533	20.72
1141	3	1.62762	22.66
1142	3	1.62992	23.38
1143	3	1.61847	19.56
1144	3	1.62075	20.25
1145	3	1.62304	18.96
1146	3	1.61164	19.00
1147	3	1.61391	24.10
1148	3	1.61619	35.86
1149	3	1.60485	38.26
1150	3	1.60711	39.99
1151	3	1.60938	36.75
1152	3	1.59810	25.58
1153	3	1.60035	43.62
1154	3	1.60260	33.19
1155	3	1.59138	34.98
1156	3	1.59362	31.82
1157	3	1.59585	26.10
1158	3	1.58469	27.38
1159	3	1.58692	41.01
1160	3	1.58915	37.85
1161	3	1.57804	23.50
1162	3	1.58026	22.22
1163	3	1.58247	21.46
1164	3	1.57143	22.28
1165	3	1.57363	19.01
1166	3	1.57584	35.08
1167	3	1.56485	23.76
1168	3	1.56704	42.38
1169	3	1.56923	34.21
1170	3	1.55830	25.97
1171	3	1.56048	27.32
1172	3	1.56266	22.90
1173	3	1.55178	18.92
1174	3	1.55395	30.72
1175	3	1.55612	37.30
1176	3	1.54530	42.77
1177	3	1.54746	40.17
1178	3	1.54962	52.39
1179	3	1.53885	28.71
1180	3	1.54100	38.69
1181	3	1.54315	36.02
1182	3	1.53243	38.92
1183	3	1.53457	66.95
1184	3	1.53671	87.19
1185	3	1.52605	76.91
1186	3	1.52817	49.91
1187	3	1.53030	31.63
1188	3	1.51970	35.50
1189	3	1.52181	64.72
1190	3	1.52393	35.95
1191	3	1.51338	53.00
1192	3	1.51548	48.92
1193	3	1.51759	45.29
1194	3	1.50709	34.93
1195	3	1.50918	36.81
1196	3	1.51128	34.76
1197	3	1.50083	24.02
1198	3	1.50291	27.81
1199	3	1.50500	73.65
1200	3	1.49461	59.60
1201	3	1.49668	31.63
1202	3	1.49875	28.82
1203	3	1.48841	34.32
1204	3	1.49047	32.13
1205	3	1.49254	31.46
1206	3	1.48225	40.27
1207	3	1.48430	27.35
1208	3	1.48635	26.43
1209	3	1.47611	21.20
1210	3	1.47815	18.38
1211	3	1.48020	25.65
1212	3	1.47001	26.76
1213	3	1.47204	27.13
1214	3	1.47407	26.88
1215	3	1.46393	20.81
1216	3	1.46596	19.02
1217	3	1.46798	20.38
1218	3	1.45789	21.64
1219	3	1.45990	19.02
1220	3	1.46192	21.56
1221	3	1.45188	19.79
1222	3	1.45388	24.09
1223	3	1.45588	18.82
1224	3	1.44589	23.49
1225	3	1.44788	16.27
1226	3	1.44988	15.97
1227	3	1.43994	15.96
1228	3	1.44192	16.00
1229	3	1.44390	15.31
1230	3	1.43401	15.80
1231	3	1.43598	18.60
1232	3	1.43796	18.05
1233	3	1.42811	17.67
1234	3	1.43007	17.81
1235	3	1.43204	18.22
1236	3	1.42224	17.87
1237	3	1.42419	15.48
1238	3	1.42615	16.24
1239	3	1.41640	20.13
1240	3	1.41834	21.35
1241	3	1.42029	21.42
1242	3	1.41059	22.44
1243	3	1.41252	19.80
1244	3	1.41446	19.16
1245	3	1.40480	20.45
1246	3	1.40673	18.01
1247	3	1.40865	16.99
1248	3	1.39904	16.92
1249	3	1.40096	16.96
1250	3	1.40288	18.47
1251	3	1.39331	15.46
1252	3	1.39522	16.44
1253	3	1.39713	18.20
1254	3	1.38761	19.79
1255	3	1.38951	20.95
1256	3	1.39141	19.47
1257	3	1.38193	19.45
1258	3	1.38382	17.03
1259	3	1.38571	18.07
1260	3	1.37628	15.35
1261	3	1.37816	17.93
1262	3	1.38005	22.57
1263	3	1.37066	18.38
1264	3	1.37253	20.27
1265	3	1.37441	19.71
1266	3	1.36507	21.61
1267	3	1.36693	23.51
1268	3	1.36879	29.24
1269	3	1.35950	30.99
1270	3	1.36135	19.18
1271	3	1.36321	19.25
1272	3	1.35395	16.31
1273	3	1.35580	19.71
1274	3	1.35765	17.34
1275	3	1.34844	20.40
1276	3	1.35027	19.89
1277	3	1.35211	18.95
1278	3	1.34295	19.20
1279	3	1.34477	16.74
1280	3	1.34660	22.26
1281	3	1.33748	15.53
1282	3	1.33930	16.00
1283	3	1.34112	16.52
1284	3	1.33204	22.60
1285	3	1.33385	17.88
1286	3	1.33566	21.65
1287	3	1.32663	22.30
1288	3	1.32843	19.13
1289	3	1.33023	16.45
1290	3	1.32124	15.06
1291	3	1.32303	15.95
1292	3	1.32483	14.61
1293	3	1.31587	16.14
1294	3	1.31766	14.19
1295	3	1.31944	16.71
1296	3	1.31053	16.57
1297	3	1.31231	15.05
1298	3	1.31409	18.57
1299	3	1.30521	15.29
1300	3	1.30698	17.60
1301	3	1.30876	15.39
1302	3	1.29992	14.25
1303	3	1.30168	15.93
1304	3	1.30345	16.35
1305	3	1.29466	15.70
1306	3	1.29641	15.31
1307	3	1.29817	15.41
1308	3	1.28941	16.36
1309	3	1.29116	19.47
1310	3	1.29291	16.07
1311	3	1.28419	17.36
1312	3	1.28593	16.57
1313	3	1.28767	17.25
1314	3	1.27900	16.15
1315	3	1.28073	14.65
1316	3	1.28246	16.13
1317	3	1.27383	15.28
1318	3	1.27555	13.49
1319	3	1.27727	14.58
1320	3	1.26868	13.13
1321	3	1.27039	14.64
1322	3	1.27211	16.97
1323	3	1.26355	15.62
1324	3	1.26526	14.53
1325	3	1.26697	17.28
1326	3	1.25845	17.48
1327	3	1.26015	15.51
1328	3	1.26185	15.84
1329	3	1.25337	14.29
1330	3	1.25506	14.81
1331	3	1.25676	15.90
1332	3	1.24832	15.69
1333	3	1.25000	14.81
1334	3	1.25169	17.31
1335	3	1.24328	19.59
1336	3	1.24496	15.98
1337	3	1.24664	21.82
1338	3	1.23827	22.64
1339	3	1.23994	18.75
1340	3	1.24161	16.00
1341	3	1.23328	16.35
1342	3	1.23494	18.10
1343	3	1.23661	26.27
1344	3	1.22832	17.92
1345	3	1.22997	18.95
1346	3	1.23163	18.86
1347	3	1.22337	16.80
1348	3	1.22502	15.15
1349	3	1.22667	16.63
1350	3	1.21845	14.54
1351	3	1.22009	14.76
1352	3	1.22173	15.06
1353	3	1.21355	16.07
1354	3	1.21518	15.67
1355	3	1.21681	14.62
1356	3	1.20867	14.04
1357	3	1.21029	14.35
1358	3	1.21192	13.56
1359	3	1.20381	15.54
1360	3	1.20543	16.02
1361	3	1.20705	14.58
1362	3	1.19898	15.75
1363	3	1.20059	15.41
1364	3	1.20220	15.33
1365	3	1.19416	14.37
1366	3	1.19576	15.90
1367	3	1.19737	13.96
1368	3	1.18937	15.76
1369	3	1.19096	15.62
1370	3	1.19256	14.68
1371	3	1.18459	18.37
1372	3	1.18618	36.88
1373	3	1.18777	29.74
1374	3	1.17984	30.53
1375	3	1.18142	27.74
1376	3	1.18301	24.86
1377	3	1.17511	24.72
1378	3	1.17668	25.00
1379	3	1.17826	22.12
1380	3	1.17040	20.28
1381	3	1.17197	18.26
1382	3	1.17354	18.08
1383	3	1.16571	15.54
1384	3	1.16727	18.36
1385	3	1.16883	25.75
1386	3	1.16104	18.98
1387	3	1.16259	21.38
1388	3	1.16415	15.38
1389	3	1.15638	15.25
1390	3	1.15793	15.56
1391	3	1.15948	19.15
1392	3	1.15175	18.01
1393	3	1.15330	14.09
1394	3	1.15484	18.04
1395	3	1.14714	14.03
1396	3	1.14868	15.78
1397	3	1.15021	19.50
1398	3	1.14255	17.74
1399	3	1.14408	17.65
1400	3	1.14561	16.94
1401	3	1.13798	16.02
1402	3	1.13950	14.87
1403	3	1.14103	13.87
1404	3	1.13343	16.84
1405	3	1.13494	15.24
1406	3	1.13646	15.27
1407	3	1.12890	13.22
1408	3	1.13040	12.55
1409	3	1.13191	14.89
1410	3	1.12438	13.64
1411	3	1.12588	12.56
1412	3	1.12739	12.66
1413	3	1.11989	12.23
1414	3	1.12138	12.75
1415	3	1.12288	13.28
1416	3	1.11541	13.45
1417	3	1.11690	15.85
1418	3	1.11839	16.09
1419	3	1.11096	15.06
1420	3	1.11244	19.45
1421	3	1.11392	25.95
1422	3	1.10652	24.33
1423	3	1.10799	23.27
1424	3	1.10947	16.09
1425	3	1.10210	15.15
1426	3	1.10357	13.14
1427	3	1.10504	14.55
1428	3	1.09770	14.60
1429	3	1.09916	14.44
1430	3	1.10063	13.62
1431	3	1.09331	26.39
1432	3	1.09477	23.74
1433	3	1.09623	25.76
1434	3	1.08895	24.43
1435	3	1.09040	21.29
1436	3	1.09186	21.08
1437	3	1.08460	19.64
1438	3	1.08605	16.87
1439	3	1.08750	17.19
1440	3	1.08028	24.71
1441	3	1.08172	23.04
1442	3	1.08316	16.22
1443	3	1.07597	17.54
1444	3	1.07740	18.52
1445	3	1.07884	13.49
1446	3	1.07167	14.28
1447	3	1.07310	13.51
1448	3	1.07453	15.11
1449	3	1.06740	19.45
1450	3	1.06882	16.45
1451	3	1.07025	24.56
1452	3	1.06314	19.11
1453	3	1.06456	24.81
1454	3	1.06598	17.60
1455	3	1.05890	15.01
1456	3	1.06032	14.71
1457	3	1.06173	11.87
1458	3	1.05468	13.62
1459	3	1.05609	13.35
1460	3	1.05749	13.74
1461	3	1.05048	13.74
1462	3	1.05188	12.79
1463	3	1.05328	11.68
1464	3	1.04629	11.42
1465	3	1.04768	11.02
1466	3	1.04908	12.25
1467	3	1.04212	11.02
1468	3	1.04351	11.16
1469	3	1.04490	11.16
1470	3	1.03797	11.23
1471	3	1.03935	11.04
1472	3	1.04073	11.24
1473	3	1.03383	12.98
1474	3	1.03521	12.85
1475	3	1.03659	11.33
1476	3	1.02971	10.86
1477	3	1.03108	11.09
1478	3	1.03245	11.09
1479	3	1.02561	11.24
1480	3	1.02697	11.76
1481	3	1.02834	11.34
1482	3	1.02152	11.43
1483	3	1.02288	11.84
1484	3	1.02424	11.67
1485	3	1.01745	11.02
1486	3	1.01880	11.22
1487	3	1.02016	13.15
1488	3	1.01340	11.03
1489	3	1.01475	10.97
1490	3	1.01610	11.31
1491	3	1.00936	13.78
1492	3	1.01070	11.39
1493	3	1.01205	10.98
1494	3	1.00534	10.94
1495	3	1.00668	11.48
1496	3	1.00802	12.56
1497	3	1.00133	11.31
1498	3	1.00266	11.70
1499	3	1.00400	14.33
1500	3	1.00000	11.83
1501	3	1.00000	11.54
1502	3	1.00000	11.28
1503	3	1.00000	12.80
1504	3	1.00133	13.08
1505	3	1.00133	12.81
1506	3	1.00000	12.10
1507	3	1.00133	13.37
1508	3	1.00133	11.65
1509	3	1.00000	13.52
1510	3	1.00133	12.25
1511	3	1.00133	19.06
1512	3	1.00000	20.81
1513	3	1.00133	13.64
1514	3	1.00133	14.24
1515	3	1.00000	16.48
1516	3	1.00133	16.12
1517	3	1.00133	16.91
1518	3	1.00000	18.24
1519	3	1.00133	17.33
1520	3	1.00133	11.48
1521	3	1.00000	11.89
1522	3	1.00133	13.20
1523	3	1.00133	14.67
1524	3	1.00000	14.81
1525	3	1.00133	14.82
1526	3	1.00133	19.22
1527	3	1.00000	16.53
1528	3	1.00133	13.43
1529	3	1.00133	11.13
1530	3	1.00000	13.60
1531	3	1.00133	14.97
1532	3	1.00133	15.52
1533	3	1.00000	16.58
1534	3	1.00133	11.79
1535	3	1.00133	10.91
1536	3	1.00000	13.39
1537	3	1.00133	12.05
1538	3	1.00133	11.48
1539	3	1.00000	11.71
1540	3	1.00133	11.67
1541	3	1.00133	10.77
1542	3	1.00000	11.00
1543	3	1.00133	10.25
1544	3	1.00133	10.29
1545	3	1.00000	11.01
1546	3	1.00133	10.97
1547	3	1.00133	12.47
1548	3	1.00000	20.08
1549	3	1.00133	12.56
1550	3	1.00133	10.94
1551	3	1.00000	11.12
1552	3	1.00133	12.07
1553	3	1.00133	15.13
1554	3	1.00000	11.61
1555	3	1.00133	12.13
1556	3	1.00133	10.66
1557	3	1.00000	11.23
1558	3	1.00133	10.59
1559	3	1.00133	13.11
1560	3	1.00000	10.97
1561	3	1.00133	13.23
1562	3	1.00133	13.02
1563	3	1.00000	11.72
1564	3	1.00133	10.48
1565	3	1.00133	13.09
1566	3	1.00000	10.59
1567	3	1.00133	11.41
1568	3	1.00133	10.28
1569	3	1.00000	10.64
1570	3	1.00133	11.66
1571	3	1.00133	11.05
1572	3	1.00000	11.15
1573	3	1.00133	11.31
1574	3	1.00133	11.42
1575	3	1.00000	15.25
1576	3	1.00133	12.99
1577	3	1.00133	12.04
1578	3	1.00000	12.04
1579	3	1.00133	19.02
1580	3	1.00133	13.06
1581	3	1.00000	12.60
1582	3	1.00133	10.74
1583	3	1.00133	12.74
1584	3	1.00000	13.19
1585	3	1.00133	16.27
1586	3	1.00133	13.91
1587	3	1.00000	11.19
1588	3	1.00133	10.76
1589	3	1.00133	10.92
1590	3	1.00000	10.96
1591	3	1.00133	10.55
1592	3	1.00133	11.60
1593	3	1.00000	10.43
1594	3	1.00133	10.36
1595	3	1.00133	10.77
1596	3	1.00000	12.82
1597	3	1.00133	10.75
1598	3	1.00133	10.85
1599	3	1.00000	13.15
1600	3	1.00133	10.77
1601	3	1.00133	10.08
1602	3	1.00000	10.15
1603	3	1.00133	10.92
1604	3	1.00133	10.37
1605	3	1.00000	11.29
1606	3	1.00133	10.41
1607	3	1.00133	10.86
1608	3	1.00000	11.33
1609	3	1.00133	12.06
1610	3	1.00133	12.00
1611	3	1.00000	14.08
1612	3	1.00133	11.74
1613	3	1.00133	10.86
1614	3	1.00000	10.95
1615	3	1.00133	11.38
1616	3	1.00133	10.42
1617	3	1.00000	10.91
1618	3	1.00133	9.79
1619	3	1.00133	9.74
1620	3	1.00000	9.65
1621	3	1.00133	9.75
1622	3	1.00133	9.98
1623	3	1.00000	13.14
1624	3	1.00133	15.04
1625	3	1.00133	11.03
1626	3	1.00000	9.65
1627	3	1.00133	11.02
1628	3	1.00133	12.39
1629	3	1.00000	11.42
1630	3	1.00133	12.57
1631	3	1.00133	11.54
1632	3	1.00000	11.50
1633	3	1.00133	11.26
1634	3	1.00133	12.45
1635	3	1.00000	11.42
1636	3	1.00133	10.38
1637	3	1.00133	9.96
1638	3	1.00000	10.72
1639	3	1.00133	12.06
1640	3	1.00133	10.76
1641	3	1.00000	12.95
1642	3	1.00133	12.79
1643	3	1.00133	13.11
1644	3	1.00000	13.59
1645	3	1.00133	11.26
1646	3	1.00133	11.92
1647	3	1.00000	10.59
1648	3	1.00133	15.14
1649	3	1.00133	12.63
1650	3	1.00000	16.39
1651	3	1.00133	23.64
1652	3	1.00133	13.70
1653	3	1.00000	11.19
1654	3	1.00133	14.70
1655	3	1.00133	14.81
1656	3	1.00000	15.57
1657	3	1.00133	11.02
1658	3	1.00133	12.85
1659	3	1.00000	11.74
1660	3	1.00133	11.23
1661	3	1.00133	11.11
1662	3	1.00000	13.44
1663	3	1.00133	10.41
1664	3	1.00133	10.44
1665	3	1.00000	18.30
1666	3	1.00133	10.57
1667	3	1.00133	10.77
1668	3	1.00000	11.50
1669	3	1.00133	16.33
1670	3	1.00133	12.63
1671	3	1.00000	12.15
1672	3	1.00133	15.69
1673	3	1.00133	12.64
1674	3	1.00000	12.89
1675	3	1.00133	10.68
1676	3	1.00133	12.35
1677	3	1.00000	13.28
1678	3	1.00133	9.99
1679	3	1.00133	9.57
1680	3	1.00000	14.10
1681	3	1.00133	11.75
1682	3	1.00133	10.18
1683	3	1.00000	10.15
1684	3	1.00133	10.20
1685	3	1.00133	12.32
1686	3	1.00000	11.54
1687	3	1.00133	10.91
1688	3	1.00133	10.87
1689	3	1.00000	16.47
1690	3	1.00133	12.90
1691	3	1.00133	10.78
1692	3	1.00000	12.34
1693	3	1.00133	14.18
1694	3	1.00133	11.57
1695	3	1.00000	10.68
1696	3	1.00133	11.93
1697	3	1.00133	14.07
1698	3	1.00000	15.26
1699	3	1.00133	18.30
1700	3	1.00133	18.11
1701	3	1.00000	16.00
1702	3	1.00133	23.51
1703	3	1.00133	16.53
1704	3	1.00000	11.38
1705	3	1.00133	11.27
1706	3	1.00133	12.59
1707	3	1.00000	10.83
1708	3	1.00133	11.72
1709	3	1.00133	10.83
1710	3	1.00000	11.05
1711	3	1.00133	9.73
1712	3	1.00133	10.69
1713	3	1.00000	12.16
1714	3	1.00133	10.28
1715	3	1.00133	12.54
1716	3	1.00000	11.24
1717	3	1.00133	10.47
1718	3	1.00133	10.45
1719	3	1.00000	11.14
1720	3	1.00133	10.76
1721	3	1.00133	11.88
1722	3	1.00000	12.09
1723	3	1.00133	12.16
1724	3	1.00133	11.12
1725	3	1.00000	10.01
1726	3	1.00133	10.74
1727	3	1.00133	11.82
1728	3	1.00000	9.63
1729	3	1.00133	10.29
1730	3	1.00133	10.27
1731	3	1.00000	10.09
1732	3	1.00133	11.75
1733	3	1.00133	12.29
1734	3	1.00000	12.56
1735	3	1.00133	10.71
1736	3	1.00133	10.40
1737	3	1.00000	12.02
1738	3	1.00133	13.61
1739	3	1.00133	13.36
1740	3	1.00000	12.39
1741	3	1.00133	16.44
1742	3	1.00133	14.23
1743	3	1.00000	11.72
1744	3	1.00133	12.91
1745	3	1.00133	17.90
1746	3	1.00000	15.58
1747	3	1.00133	12.36
1748	3	1.00133	20.91
1749	3	1.00000	20.03
1750	3	1.00133	20.10
1751	3	1.00133	16.25
1752	3	1.00000	13.55
1753	3	1.00133	14.94
1754	3	1.00133	15.38
1755	3	1.00000	15.71
1756	3	1.00133	15.82
1757	3	1.00133	17.53
1758	3	1.00000	14.51
1759	3	1.00133	14.43
1760	3	1.00133	21.52
1761	3	1.00000	20.39
1762	3	1.00133	18.56
1763	3	1.00133	25.78
1764	3	1.00000	27.29
1765	3	1.00133	25.79
1766	3	1.00133	26.86
1767	3	1.00000	16.08
1768	3	1.00133	18.28
1769	3	1.00133	15.77
1770	3	1.00000	23.61
1771	3	1.00133	22.56
1772	3	1.00133	24.53
1773	3	1.00000	23.92
1774	3	1.00133	11.39
1775	3	1.00133	12.33
1776	3	1.00000	13.76
1777	3	1.00133	9.92
1778	3	1.00133	10.06
1779	3	1.00000	11.50
1780	3	1.00133	11.21
1781	3	1.00133	13.02
1782	3	1.00000	13.91
1783	3	1.00133	11.34
1784	3	1.00133	10.27
1785	3	1.00000	13.19
1786	3	1.00133	10.10
1787	3	1.00133	10.59
1788	3	1.00000	10.43
1789	3	1.00133	10.89
1790	3	1.00133	10.44
1791	3	1.00000	10.52
1792	3	1.00133	10.34
1793	3	1.00133	10.51
1794	3	1.00000	10.62
1795	3	1.00133	11.40
1796	3	1.00133	10.59
1797	3	1.00000	9.44
1798	3	1.00133	11.06
1799	3	1.00133	10.43
1800	3	1.00000	11.19
1801	3	1.00133	10.79
1802	3	1.00133	12.18
1803	3	1.00000	11.29
1804	3	1.00133	9.82
1805	3	1.00133	10.84
1806	3	1.00000	9.98
1807	3	1.00133	12.40
1808	3	1.00133	10.61
1809	3	1.00000	11.73
1810	3	1.00133	9.94
1811	3	1.00133	10.06
1812	3	1.00000	11.10
1813	3	1.00133	10.40
1814	3	1.00133	9.86
1815	3	1.00000	10.49
1816	3	1.00133	9.70
1817	3	1.00133	9.59
1818	3	1.00000	10.69
1819	3	1.00133	12.31
1820	3	1.00133	10.31
1821	3	1.00000	10.94
1822	3	1.00133	10.15
1823	3	1.00133	9.84
1824	3	1.00000	9.96
1825	3	1.00133	8.92
1826	3	1.00133	10.60
1827	3	1.00000	10.78
1828	3	1.00133	9.52
1829	3	1.00133	10.24
1830	3	1.00000	13.24
1831	3	1.00133	10.38
1832	3	1.00133	15.15
1833	3	1.00000	15.18
1834	3	1.00133	15.32
1835	3	1.00133	14.59
1836	3	1.00000	13.61
1837	3	1.00133	14.60
1838	3	1.00133	14.10
1839	3	1.00000	12.35
1840	3	1.00133	13.99
1841	3	1.00133	14.61
1842	3	1.00000	15.90
1843	3	1.00133	15.70
1844	3	1.00133	13.93
1845	3	1.00000	9.87
1846	3	1.00133	10.06
1847	3	1.00133	9.05
1848	3	1.00000	10.75
1849	3	1.00133	13.18
1850	3	1.00133	10.63
1851	3	1.00000	10.37
1852	3	1.00133	10.61
1853	3	1.00133	13.83
1854	3	1.00000	13.40
1855	3	1.00133	13.16
1856	3	1.00133	15.55
1857	3	1.00000	12.70
1858	3	1.00133	14.95
1859	3	1.00133	14.00
1860	3	1.00000	13.81
1861	3	1.00133	13.12
1862	3	1.00133	10.37
1863	3	1.00000	14.79
1864	3	1.00133	13.47
1865	3	1.00133	13.20
1866	3	1.00000	14.40
1867	3	1.00133	12.39
1868	3	1.00133	18.92
1869	3	1.00000	14.44
1870	3	1.00133	13.38
1871	3	1.00133	11.59
1872	3	1.00000	16.73
1873	3	1.00133	13.83
1874	3	1.00133	14.32
1875	3	1.00000	16.01
1876	3	1.00133	15.13
1877	3	1.00133	15.00
1878	3	1.00000	15.77
1879	3	1.00133	13.94
1880	3	1.00133	13.20
1881	3	1.00000	16.56
1882	3	1.00133	16.17
1883	3	1.00133	13.66
1884	3	1.00000	17.02
1885	3	1.00133	17.36
1886	3	1.00133	14.94
1887	3	1.00000	19.24
1888	3	1.00133	16.15
1889	3	1.00133	13.47
1890	3	1.00000	20.07
1891	3	1.00133	16.69
1892	3	1.00133	12.60
1893	3	1.00000	12.61
1894	3	1.00133	16.41
1895	3	1.00133	9.91
1896	3	1.00000	9.36
1897	3	1.00133	11.77
1898	3	1.00133	17.66
1899	3	1.00000	9.37
1900	3	1.00133	9.13
1901	3	1.00133	11.26
1902	3	1.00000	18.24
1903	3	1.00133	9.44
1904	3	1.00133	9.29
1905	3	1.00000	9.45
1906	3	1.00133	18.11
1907	3	1.00133	9.34
1908	3	1.00000	9.76
1909	3	1.00133	10.52
1910	3	1.00133	19.47
1911	3	1.00000	13.67
1912	3	1.00133	12.06
1913	3	1.00133	14.57
1914	3	1.00000	17.56
1915	3	1.00133	11.93
1916	3	1.00133	14.13
1917	3	1.00000	18.13
1918	3	1.00133	9.67
1919	3	1.00133	11.98
1920	3	1.00000	12.56
1921	3	1.00133	19.60
1922	3	1.00133	19.25
1923	3	1.00000	18.04
1924	3	1.00133	15.87
1925	3	1.00133	13.03
1926	3	1.00000	13.87
1927	3	1.00133	15.46
1928	3	1.00133	10.52
1929	3	1.00000	9.30
1930	3	1.00133	16.84
1931	3	1.00133	15.72
1932	3	1.00000	14.36
1933	3	1.00133	18.09
1934	3	1.00133	15.86
1935	3	1.00000	13.43
1936	3	1.00133	14.28
1937	3	1.00133	16.85
1938	3	1.00000	9.21
1939	3	1.00133	9.04
1940	3	1.00133	11.96
1941	3	1.00000	21.05
1942	3	1.00133	13.05
1943	3	1.00133	17.89
1944	3	1.00000	17.67
1945	3	1.00133	12.23
1946	3	1.00133	13.09
1947	3	1.00000	20.84
1948	3	1.00133	11.53
1949	3	1.00133	10.30
1950	3	1.00000	13.76
1951	3	1.00133	17.23
1952	3	1.00133	10.20
1953	3	1.00000	11.56
1954	3	1.00133	15.25
1955	3	1.00133	13.92
1956	3	1.00000	11.55
1957	3	1.00133	10.12
1958	3	1.00133	18.66
1959	3	1.00000	12.19
1960	3	1.00133	11.55
1961	3	1.00133	12.54
1962	3	1.00000	19.60
1963	3	1.00133	16.36
1964	3	1.00133	17.39
1965	3	1.00000	16.30
1966	3	1.00133	12.57
1967	3	1.00133	12.12
1968	3	1.00000	20.61
1969	3	1.00133	12.21
1970	3	1.00133	12.47
1971	3	1.00000	17.33
1972	3	1.00133	12.79
1973	3	1.00133	12.56
1974	3	1.00000	15.52
1975	3	1.00133	18.41
1976	3	1.00133	12.73
1977	3	1.00000	11.74
1978	3	1.00133	19.37
1979	3	1.00133	12.63
1980	3	1.00000	12.18
1981	3	1.00133	17.77
1982	3	1.00133	14.89
1983	3	1.00000	11.44
1984	3	1.00133	12.00
1985	3	1.00133	18.98
1986	3	1.00000	11.45
1987	3	1.00133	12.57
1988	3	1.00133	18.14
1989	3	1.00000	14.62
1990	3	1.00133	10.25
1991	3	1.00133	10.20
1992	3	1.00000	18.21
1993	3	1.00133	9.45
1994	3	1.00133	10.03
1995	3	1.00000	14.58
1996	3	1.00133	19.10
1997	3	1.00133	14.32
1998	3	1.00000	13.33
1999	3	1.00133	20.97
2000	3	1.00133	12.61
2001	3	1.00000	13.03
2002	3	1.00133	20.03
2003	3	1.00133	11.08
2004	3	1.00000	11.78
2005	3	1.00133	14.98
2006	3	1.00133	17.17
2007	3	1.00000	11.77
2008	3	1.00133	9.99
2009	3	1.00133	16.69
2010	3	1.00000	16.64
2011	3	1.00133	13.10
2012	3	1.00133	13.74
2013	3	1.00000	15.10
2014	3	1.00133	10.41
2015	3	1.00133	9.34
2016	3	1.00000	10.65
2017	3	1.00133	9.49
2018	3	1.00133	12.27
2019	3	1.00000	9.83
2020	3	1.00133	9.41
2021	3	1.00133	12.24
2022	3	1.00000	11.10
2023	3	1.00133	10.75
2024	3	1.00133	10.37
2025	3	1.00000	12.72
2026	3	1.00133	9.57
2027	3	1.00133	10.05
2028	3	1.00000	9.70
2029	3	1.00133	10.15
2030	3	1.00133	9.80
2031	3	1.00000	10.77
2032	3	1.00133	9.76
2033	3	1.00133	9.72
2034	3	1.00000	9.72
2035	3	1.00133	9.49
2036	3	1.00133	9.48
2037	3	1.00000	9.82
2038	3	1.00133	10.57
2039	3	1.00133	10.68
2040	3	1.00000	9.49
2041	3	1.00133	9.77
2042	3	1.00133	9.64
2043	3	1.00000	9.91
2044	3	1.00133	10.06
2045	3	1.00133	9.65
2046	3	1.00000	9.63
2047	3	1.00133	9.54
2048	3	1.00133	9.62
2049	3	1.00000	10.36
2050	3	1.00133	9.48
2051	3	1.00133	9.70
2052	3	1.00000	9.57
2053	3	1.00133	9.57
2054	3	1.00133	9.84
2055	3	1.00000	9.81
