Graph Info:	random 3	Number of Vertices	5003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	2213	1.25430	111.39	6	1.82356	35.43	3	1.72213	54.08	11	1.82161	88.79	3	1.80134	82.06
1	1813	1.08888	52.71	6	1.40933	34.19	4	1.40721	96.34	62	1.40047	74.26	3	1.80134	53.14
2	2004	1.70750	10.33	11	1.69570	19.40	8	1.62493	33.41	71	1.68608	30.27	5	1.74863	84.98
3	1893	1.04326	20.99	7	1.13920	35.18	4	1.12611	38.13	107	1.12297	37.10	3	1.72213	80.46
4	1923	1.05215	14.57	10	1.00922	18.37	7	1.77870	25.14	69	1.01031	27.35	3	1.72213	34.40
5	2221	1.13791	10.12	5	1.72470	35.30	3	1.72213	48.10	35	1.68980	34.77	3	1.72213	46.65
6	1822	1.09163	12.72	6	1.40933	32.17	4	1.40721	66.16	54	1.40924	63.66	3	1.80134	34.98
7	1907	1.72476	8.63	6	1.82356	18.08	3	1.72213	47.70	72	1.70956	62.52	3	1.80134	48.49
8	1907	1.72476	8.91	6	1.82356	17.76	3	1.72213	22.10	31	1.79511	19.76	3	1.80134	46.48
9	2169	1.27972	16.18	6	1.92582	39.46	3	1.72213	32.04	12	1.91739	21.18	3	1.72213	43.30
10	2165	1.28790	11.65	11	1.68559	23.89	7	1.51254	45.12	19	1.67412	48.22	4	1.49975	57.41
11	1814	1.08918	10.34	10	1.95927	16.75	6	1.19789	20.73	74	1.88958	20.03	3	1.80134	42.08
12	2213	1.25430	14.34	6	1.82356	23.89	3	1.72213	46.59	11	1.82161	40.25	3	1.80134	34.77
13	2086	1.08072	8.09	7	1.92982	17.45	3	1.80134	25.45	47	1.88902	45.87	3	1.72213	69.10
14	2042	1.45214	8.22	7	1.91618	17.22	6	1.62114	27.31	84	1.83714	32.68	3	1.72213	51.76
15	1955	1.17098	15.28	6	1.82038	46.18	3	1.72213	45.47	53	1.76738	51.63	3	1.72213	40.23
16	1910	1.65069	9.15	6	1.92582	33.26	3	1.72213	49.86	70	1.91719	40.10	3	1.72213	46.78
17	1956	1.34310	9.97	8	1.77310	17.33	6	1.77200	46.30	51	1.74078	99.51	3	1.80134	137.13
18	2016	1.44309	33.21	10	1.70388	67.20	8	1.53209	67.19	99	1.71383	30.57	5	1.13743	122.75
19	2058	1.44410	14.38	8	1.92187	20.30	6	1.67289	25.59	63	1.85892	25.32	4	1.78321	49.73
20	1865	1.66718	9.17	10	1.77114	24.16	6	1.57797	25.11	31	1.75232	31.48	5	1.25484	69.43
21	2226	1.13623	18.85	5	1.72470	31.53	3	1.72213	21.47	17	1.71205	22.65	3	1.72213	37.07
22	1603	1.54665	16.94	8	1.28917	26.76	4	1.16192	41.77	21	1.27639	39.92	5	1.25993	37.13
23	1915	1.42652	16.87	9	1.46654	28.63	7	1.21485	53.30	66	1.43468	46.24	5	1.16515	45.28
24	2212	1.25469	12.29	6	1.82356	32.82	3	1.72213	55.50	15	1.81752	68.63	3	1.80134	40.84
25	1789	1.08152	8.95	6	1.40933	18.89	4	1.40721	23.01	92	1.38084	21.02	3	1.80134	33.76
26	2130	1.32043	25.47	10	1.76503	32.25	7	1.74370	33.10	22	1.76251	33.47	4	1.73308	32.07
27	1776	1.07119	8.08	8	1.90830	17.87	6	1.88703	22.19	53	1.88749	35.37	6	1.36832	69.00
28	1929	1.00463	13.78	7	1.92982	18.51	3	1.80134	24.89	46	1.90006	20.32	3	1.72213	32.00
29	1913	1.72069	7.81	6	1.82356	18.55	3	1.72213	43.51	43	1.78323	47.10	3	1.80134	40.36
30	1908	1.49765	7.73	7	1.30982	18.26	5	1.30783	20.31	61	1.27289	20.91	5	1.75165	56.75
31	1915	1.42652	13.25	7	1.48143	31.00	5	1.22677	31.07	68	1.43681	21.49	5	1.16515	35.45
