Graph Info:	./input_data/cylinder/rnd/3.txt	Number of Vertices	3003, Regsion Size	100
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	50	179.59	51	170.37
1	50	160.94	50	141.37
2	50	165.62	51	142.55
3	50	243.84	50	145.91
4	50	174.71	50	135.19
5	50	161.99	50	148.08
6	50	167.52	50	147.14
7	50	173.73	51	134.05
8	50	161.84	50	147.17
9	50	161.88	51	132.70
10	50	172.65	52	134.07
11	50	172.68	50	150.04
12	50	168.39	50	140.94
13	50	181.69	49	133.27
14	50	178.23	51	133.89
15	50	164.01	50	145.90
