Graph Info:	./input_data/cylinder/4.txt	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.00033	132.98	5164	1.79458	304.23	6	1.00033	161.38
1	3	1.00013	76.13	13732	1.59278	159.95	3	1.00033	102.31
2	6	1.00033	152.37	6188	1.76352	318.81	6	1.00033	197.58
3	6	1.00033	77.49	3	1.99970	210.11	6	1.00033	212.90
4	3	1.00000	79.55	19806	1.50234	198.82	3	1.00033	104.33
5	3	1.00013	69.70	18781	1.51568	199.85	3	1.00033	154.80
6	6	1.00033	81.42	11515	1.63456	158.29	6	1.00033	109.07
7	3	1.00000	62.78	3	1.99970	155.76	3	1.00033	95.27
8	3	1.00013	192.65	15812	1.55835	271.70	3	1.00033	91.83
9	6	1.00033	173.54	8148	1.71036	179.89	6	1.00033	99.91
10	6	1.00033	79.11	6068	1.76703	142.09	6	1.00033	103.74
11	6	1.00033	84.86	10172	1.66271	136.65	6	1.00033	123.14
12	6	1.00033	68.46	8701	1.69677	154.44	6	1.00033	122.69
13	6	1.00033	129.93	2915	1.87268	158.75	6	1.00033	112.78
14	3	1.00000	175.05	19575	1.50533	157.60	3	1.00033	153.83
15	6	1.00033	152.37	8309	1.70641	176.58	6	1.00033	212.70
16	3	1.00000	81.06	15222	1.56771	160.17	3	1.00033	145.95
17	6	1.00033	76.61	4119	1.82912	128.55	6	1.00033	158.20
18	3	1.00013	99.47	18497	1.51948	225.14	3	1.00033	109.59
19	6	1.00033	102.52	11475	1.63536	188.85	6	1.00033	111.48
20	3	1.00000	72.26	17856	1.52821	184.13	3	1.00033	103.20
21	3	1.00013	83.01	16637	1.54585	232.77	3	1.00033	226.71
22	6	1.00033	144.46	3775	1.84111	178.54	6	1.00033	108.86
23	6	1.00033	86.95	11767	1.62952	216.58	6	1.00033	215.65
24	6	1.00033	72.21	4740	1.80820	140.09	6	1.00033	106.23
25	3	1.00000	78.67	3	1.99970	144.07	3	1.00033	107.18
26	3	1.00013	69.67	14084	1.58666	149.39	3	1.00033	108.66
27	3	1.00013	81.22	18236	1.52296	263.24	3	1.00033	194.81
28	3	1.00013	68.25	16114	1.55369	149.33	3	1.00033	129.82
29	3	1.00013	79.86	19867	1.50163	157.81	3	1.00033	109.64
30	6	1.00033	74.60	178	1.99088	134.99	6	1.00033	109.02
31	6	1.00033	84.29	3	1.99970	152.61	6	1.00033	102.78
