Graph Info:	./input_data/cylinder/5.txt	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	63.97	5	1.99960	224.64	3	1.00000	97.10
1	3	1.00000	106.81	5	1.99960	291.05	3	1.00000	132.21
2	3	1.00000	117.43	5	1.99960	180.35	3	1.00000	83.74
3	6	1.00020	57.96	3	1.26085	162.39	6	1.00000	96.12
4	3	1.00000	88.37	5	1.99960	182.32	3	1.00000	93.66
5	6	1.00020	69.57	5	1.99960	167.14	6	1.00000	101.70
6	6	1.00020	73.91	3	1.19438	167.60	6	1.00000	98.39
7	6	1.00020	73.94	3	1.08505	149.75	6	1.00000	129.82
8	6	1.00020	61.17	5	1.99960	179.06	6	1.00000	122.66
9	6	1.00020	54.56	5	1.99960	207.82	6	1.00000	113.63
10	6	1.00020	148.54	3	1.28513	476.15	6	1.00000	167.28
11	3	1.00000	92.79	5	1.99960	210.72	3	1.00000	94.44
12	6	1.00020	90.82	5	1.99960	157.27	6	1.00000	146.70
13	3	1.00000	74.99	5	1.99960	197.68	3	1.00000	124.55
14	6	1.00020	67.86	3	1.28513	173.72	6	1.00000	83.80
15	6	1.00020	58.54	5	1.99960	194.61	6	1.00000	100.03
16	3	1.00000	132.04	5	1.99960	189.31	3	1.00000	154.70
17	6	1.00020	53.30	5	1.99960	219.88	6	1.00000	91.88
18	6	1.00020	124.62	3	1.87579	165.86	6	1.00000	86.52
19	3	1.00000	86.77	5	1.99960	283.43	3	1.00000	120.26
20	3	1.00000	53.62	5	1.99960	166.97	3	1.00000	76.48
21	6	1.00020	92.25	5	1.99960	247.72	6	1.00000	82.75
22	3	1.00000	52.04	5	1.99960	152.38	3	1.00000	100.35
23	3	1.00000	92.26	5	1.99960	274.48	3	1.00000	124.95
24	3	1.00000	69.22	5	1.99960	165.08	3	1.00000	94.41
25	3	1.00000	67.16	5	1.99960	239.68	3	1.00000	168.26
26	6	1.00020	59.54	5	1.99960	159.94	6	1.00000	96.37
27	3	1.00000	61.16	5	1.99960	178.95	3	1.00000	102.74
28	6	1.00020	52.67	3	1.36286	179.17	6	1.00000	78.61
29	3	1.00000	56.47	5	1.99960	177.84	3	1.00000	102.76
30	3	1.00000	71.63	5	1.99960	154.09	3	1.00000	120.92
31	6	1.00020	55.67	3	1.14866	160.48	6	1.00000	77.71
