Graph Info:	./input_data/cylinder/3.txt	Number of Vertices	303
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.01961	1.90	3	1.26667	4.16	6	1.00000	3.36
1	3	1.00000	2.31	5	1.96154	13.05	3	1.00000	1.58
2	3	1.00000	1.10	5	1.96154	3.83	3	1.00000	1.78
3	3	1.00000	1.03	5	1.96154	2.90	3	1.00000	2.48
4	6	1.01961	1.62	3	1.08163	4.36	6	1.00000	1.57
5	3	1.00000	1.15	5	1.96154	4.01	3	1.00000	1.28
6	3	1.00000	1.69	5	1.96154	3.94	3	1.00000	1.32
7	3	1.00000	1.11	5	1.96154	3.05	3	1.00000	1.62
8	3	1.00000	1.10	5	1.96154	3.63	3	1.00000	1.40
9	3	1.00000	1.07	5	1.96154	2.91	3	1.00000	1.37
10	6	1.01961	1.02	3	1.26667	3.39	6	1.00000	2.19
11	3	1.00000	1.00	5	1.96154	10.11	3	1.00000	2.45
12	6	1.01961	1.05	3	1.75676	5.35	6	1.00000	1.36
13	6	1.01961	1.32	3	1.37209	3.80	6	1.00000	1.39
14	6	1.01961	1.03	5	1.96154	2.78	6	1.00000	1.58
15	3	1.00000	0.96	5	1.96154	5.40	3	1.00000	1.33
16	6	1.01961	0.96	5	1.96154	2.63	6	1.00000	1.82
17	3	1.00000	1.46	5	1.96154	3.11	3	1.00000	1.39
18	6	1.01961	1.10	3	1.17021	3.85	6	1.00000	1.27
19	6	1.01961	0.98	3	1.75676	2.65	6	1.00000	1.27
20	3	1.00000	1.07	5	1.96154	1.57	3	1.00000	2.18
21	6	1.01961	5.96	3	1.00000	2.85	6	1.00000	1.65
22	3	1.00000	7.03	5	1.96154	3.70	3	1.00000	4.23
23	6	1.01961	2.14	3	1.08163	11.10	6	1.00000	1.42
24	6	1.01961	1.09	5	1.96154	6.95	6	1.00000	3.72
25	3	1.00000	7.75	5	1.96154	9.53	3	1.00000	1.61
26	3	1.00000	1.38	5	1.96154	5.63	3	1.00000	2.51
27	3	1.00000	3.09	5	1.96154	2.37	3	1.00000	5.14
28	6	1.01961	0.96	3	1.31818	5.39	6	1.00000	3.27
29	3	1.00000	4.53	5	1.96154	7.50	3	1.00000	1.15
30	3	1.00000	0.95	5	1.96154	3.56	3	1.00000	1.62
31	6	1.01961	0.81	5	1.96154	4.65	6	1.00000	1.21
