Graph Info:	./input_data/cylinder/symm/3.txt	Number of Vertices	303, Regsion Size	200
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	2	1.93	2	5.55
1	2	2.41	2	5.43
2	2	1.93	2	5.46
3	2	1.90	2	5.47
4	2	1.93	2	5.67
5	2	1.93	2	11.14
6	2	1.95	2	7.58
7	2	2.00	2	5.55
8	2	2.99	2	9.64
9	2	3.64	2	11.64
10	2	2.00	2	8.66
11	2	3.03	2	11.43
12	2	1.96	2	11.15
13	2	2.43	2	9.92
14	2	2.12	2	6.80
15	2	1.91	2	5.43
