Graph Info:	./input_data/grids/5.txt	Number of Vertices	595856
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	4236	1.00757	6928.41	716	1.99788	6895.68	1983	1.43455	9102.42
1	2490	1.00106	2054.21	684	1.71963	6736.99	1243	1.60610	7299.19
2	2307	1.00478	1984.93	669	1.66566	5843.24	1360	1.44892	5966.43
3	3710	1.00504	2040.68	941	1.39011	5149.84	2051	1.03618	7399.03
4	2422	1.00364	2014.92	669	1.66566	5797.02	1736	1.19248	5529.26
5	2532	1.00360	2222.81	668	1.67365	5393.90	1693	1.25923	5505.07
6	2264	1.00670	1954.97	668	1.67365	4262.86	1859	1.08022	6990.12
7	4000	1.00271	1977.29	951	1.53692	5832.73	2072	1.15316	5787.69
8	2972	1.00608	2052.69	906	1.17030	5415.58	1943	1.01039	6009.32
9	2615	1.00127	1975.75	808	1.99656	4913.81	1768	1.40220	5681.66
10	2164	1.00704	2056.65	668	1.67365	5140.67	1652	1.34177	5595.37
11	2214	1.00054	2059.71	668	1.67365	5633.16	1407	1.44163	5566.26
12	2654	1.00500	2051.27	861	1.02556	5318.92	1735	1.00210	6055.06
13	3328	1.00945	2024.72	669	1.99730	5026.01	1945	1.35472	5581.83
14	2402	1.00507	1980.19	668	1.67365	5246.65	1562	1.34688	5533.76
15	2202	1.00021	1966.86	668	1.67365	5466.79	1437	1.43661	5521.21
16	2172	1.00634	1969.11	669	1.66566	5622.30	1719	1.25173	5587.49
17	3532	1.00288	2049.22	789	1.99712	5579.83	1724	1.52467	5464.04
18	2453	1.00753	1888.43	669	1.66566	4175.94	1664	1.25261	9485.43
19	2508	1.00837	2017.13	669	1.90495	5591.11	1282	1.70705	5447.86
20	3096	1.01020	1925.04	858	1.40472	4317.47	1966	1.04790	7727.32
21	2228	1.00149	2016.10	669	1.66566	4121.45	1362	1.43926	6655.00
22	3938	1.01280	2012.11	708	1.99570	4152.90	1513	1.53742	7284.09
23	2369	1.00038	1997.37	668	1.67365	4287.45	1353	1.45829	7170.29
24	3336	1.00849	2066.13	840	1.78066	4154.90	1964	1.32849	6488.80
25	2210	1.00707	1944.39	668	1.67365	4263.56	1734	1.21450	5559.15
26	2400	1.00098	3411.09	730	1.44395	4182.50	1138	1.38290	5483.53
27	2350	1.00021	1975.50	672	1.66442	5044.15	1537	1.61527	5414.08
28	3724	1.00950	1984.66	782	1.99774	5096.18	2037	1.53003	5392.82
29	3037	1.00633	1919.49	848	1.99349	5051.72	2130	1.40144	5568.26
30	2778	1.00871	1973.85	744	1.99439	5096.09	1819	1.38526	5561.69
31	3782	1.01174	1891.81	669	1.99829	5067.69	1945	1.35523	5602.62
