Graph Info:	./input_data/grids/3.txt	Number of Vertices	5963, Regsion Size	100
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	301	2074.50	385	877.03
1	300	992.83	370	671.70
2	308	593.71	350	601.45
3	308	588.47	367	462.85
4	317	723.97	364	978.23
5	311	892.94	337	712.84
6	318	681.54	375	463.20
7	300	738.08	345	948.59
8	299	1161.61	323	620.02
9	308	567.22	340	426.88
10	301	683.64	347	452.12
11	296	968.00	345	541.33
12	287	564.59	361	760.74
13	300	632.08	363	462.98
14	304	645.53	343	456.25
15	308	648.21	359	425.68
