Graph Info:	./input_data/grids/3.txt	Number of Vertices	5963, Regsion Size	200
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	131	475.66	114	442.83
1	132	479.81	116	436.40
2	138	466.32	116	416.61
3	135	465.63	112	414.65
4	130	464.87	102	414.91
5	131	496.46	102	469.41
6	138	500.05	112	469.83
7	130	539.23	114	464.16
8	129	482.60	112	433.95
9	136	498.93	114	419.53
10	133	447.58	119	402.83
11	138	463.02	116	446.58
12	137	629.80	105	515.53
13	136	660.62	116	563.45
14	131	516.13	104	534.75
15	133	474.43	112	401.76
