Graph Info:	sphere_Cube	Number of Vertices	2125766
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	847464	1.29514	20785.88	13	1.43750	30359.17	6	1.00000	30884.37	110	1.43732	45289.28	11	1.18182	55083.81
1	821400	1.61446	17455.27	14	1.04516	24061.37	7	1.01869	29417.22	39	1.04512	32379.89	12	1.66665	54611.38
2	909280	1.11064	12360.16	15	1.03249	22479.39	8	1.05932	28894.01	486	1.03270	28352.60	10	1.00000	50916.55
3	848558	1.53801	10411.54	18	1.07261	26912.60	11	1.00598	24984.89	869	1.07285	40138.98	6	1.00000	43990.62
4	835620	1.30748	22239.61	15	1.40731	31527.05	8	1.37073	27573.60	1386	1.40520	50986.64	13	1.18182	58586.68
5	920440	1.10177	11319.24	13	1.06622	56710.76	6	1.00000	28889.16	36	1.06620	59475.45	8	1.00000	70549.03
6	816722	1.40852	14907.05	14	1.41237	34970.56	7	1.05714	32836.64	111	1.41220	38381.92	6	1.00000	53766.70
7	844980	1.29762	12797.49	13	1.43750	28367.82	6	1.00000	39190.87	398	1.43685	40161.14	11	1.18182	75851.84
8	847500	1.29510	24904.21	13	1.43750	31993.78	6	1.40000	29007.22	15	1.43749	39980.70	11	1.18182	67599.34
9	917920	1.10369	10469.64	15	1.04449	34253.00	8	1.02079	37062.83	429	1.04431	50725.64	10	1.00000	62617.83
10	835620	1.30748	10317.26	15	1.45812	23530.79	8	1.02500	39423.47	964	1.45716	38188.31	12	1.18182	70138.51
11	847500	1.29510	11756.69	13	1.43750	36061.22	6	1.00000	30365.48	15	1.43749	38360.07	11	1.18182	70355.13
12	917920	1.10369	10806.91	15	1.05748	28856.61	8	1.00826	34119.72	398	1.05733	50416.95	10	1.00000	61558.77
13	819170	1.41053	11449.94	14	1.00858	32156.46	7	1.05714	28929.51	25	1.00857	37523.15	6	1.00000	77305.03
14	835620	1.30748	13214.40	13	1.43750	27891.30	6	1.00000	29796.03	1020	1.43569	50990.57	11	1.18182	65788.53
15	821400	1.61446	10564.65	14	1.46748	37764.93	7	1.01869	34625.33	72	1.46736	40339.82	6	1.40000	72869.93
16	835620	1.30748	13785.88	15	1.40136	28141.20	8	1.02500	30126.08	791	1.40081	48984.20	13	1.18182	58346.58
17	920440	1.10177	13202.15	13	1.02597	38238.86	6	1.00000	28867.45	18	1.02597	44902.89	8	1.00000	75124.48
18	920440	1.10177	12462.60	13	1.06622	28303.29	6	1.00000	36996.45	18	1.06622	36310.68	8	1.00000	54588.73
19	847500	1.29510	10481.98	13	1.43750	37586.09	6	1.40000	32062.75	38	1.43744	31316.95	11	1.18182	86712.44
20	825720	1.60830	11104.59	14	1.48642	23470.63	7	1.00619	31125.29	791	1.48580	54295.08	6	1.40000	56931.95
21	847500	1.29510	11924.14	7	1.99999	31009.83	6	1.40000	34298.24	34	1.99995	36673.97	10	1.40000	71866.19
22	835620	1.30748	21235.05	15	1.40136	36603.78	8	1.02500	40904.68	1210	1.40002	31977.06	13	1.18182	61813.98
23	844980	1.29762	27634.52	15	1.04449	52205.02	8	1.02079	46690.65	636	1.04401	36425.33	12	1.00001	69984.64
24	837002	1.51887	13963.07	16	1.47485	28949.03	9	1.43620	35480.02	63	1.47484	33638.93	6	1.00000	46985.54
25	818774	1.41020	15401.06	18	1.00572	34117.15	11	1.06016	28302.32	300	1.00560	38288.48	6	1.00000	64014.92
26	835620	1.30748	13163.58	17	1.40210	30820.85	10	1.06467	41924.36	1360	1.40094	37316.40	14	1.18182	61462.53
27	835620	1.30748	21823.46	15	1.40731	24595.65	8	1.37073	27548.75	1386	1.40520	41352.21	13	1.18182	75379.76
28	819170	1.41053	10894.04	14	1.00858	36351.72	7	1.05714	52392.60	25	1.00857	42007.38	6	1.00000	50620.86
29	821400	1.61446	12128.21	14	1.00715	34811.78	7	1.01869	28769.29	25	1.00714	36175.30	12	1.66665	68500.41
30	908560	1.11119	11451.24	15	1.03249	24054.28	8	1.05932	28601.92	1154	1.03333	43876.05	10	1.00000	50127.37
31	816722	1.40852	10156.42	14	1.04665	25730.02	7	1.01869	32507.43	111	1.04654	33201.23	6	1.00000	52056.12
