Graph Info:	sphere_Tetrahedron	Number of Vertices	4376
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	2540	1.10597	22.05	11	1.54466	27.67	7	1.77054	18.61	11	1.54466	27.08	6	1.00000	32.93
1	2288	1.38682	17.40	5	1.99658	14.08	5	1.76753	14.64	68	1.94500	25.65	4	1.00000	49.03
2	2680	1.01140	13.83	9	1.99522	31.16	7	1.92005	22.29	56	1.86675	17.39	5	1.39923	26.10
3	2540	1.10597	6.00	10	1.99386	17.62	7	1.75834	17.02	11	1.99250	33.58	5	1.39923	46.29
4	2300	1.24177	12.53	5	1.99658	28.06	5	1.76753	15.33	92	1.93947	15.66	4	1.00000	23.97
5	2300	1.24177	6.11	10	1.99386	13.02	7	1.88735	21.67	99	1.89832	38.17	5	1.76753	51.64
6	2368	1.27377	8.85	9	1.99522	21.10	7	1.97354	17.62	67	1.90013	16.48	5	1.39923	27.50
7	2748	1.01471	6.18	9	1.99522	15.10	7	1.98366	42.03	31	1.96768	44.96	5	1.91678	40.55
8	2300	1.24177	5.76	5	1.99658	12.05	4	1.99795	18.52	101	1.92232	16.81	4	1.00000	24.29
9	2402	1.28523	14.26	5	1.99658	33.01	4	1.99795	35.98	46	1.96779	30.15	4	1.00000	39.36
10	2354	1.45262	5.91	5	1.99658	12.72	4	1.99795	16.61	43	1.96976	16.70	4	1.00000	59.89
11	2540	1.10597	10.59	11	1.56250	29.49	7	1.79172	31.84	11	1.56250	17.68	6	1.00000	24.75
12	2368	1.27377	7.71	9	1.99522	11.99	7	1.97354	16.73	67	1.90013	35.28	5	1.39923	48.69
13	2342	1.44825	11.69	5	1.99658	21.28	4	1.99795	19.31	46	1.96779	16.75	4	1.00000	23.22
14	2540	1.10597	6.02	11	1.52271	14.25	7	1.74452	36.32	11	1.52271	35.84	6	1.00000	50.73
15	2540	1.10597	7.84	10	1.83883	16.49	7	1.75660	14.83	13	1.83527	15.26	5	1.39923	23.80
16	2368	1.27377	5.69	9	1.99522	12.37	7	1.97354	19.26	67	1.90013	33.31	5	1.39923	52.17
17	2540	1.10597	13.81	9	1.54203	26.80	5	1.76753	19.21	14	1.54493	16.19	6	1.00000	24.91
18	2300	1.24177	5.67	10	1.79363	12.23	6	1.69828	26.11	90	1.74493	20.87	6	1.24949	60.60
19	2300	1.24177	9.76	12	1.78250	16.15	8	1.68792	20.28	101	1.72324	15.85	6	1.24949	28.10
20	2342	1.44825	9.92	5	1.99658	35.22	5	1.76753	35.26	46	1.96779	32.94	4	1.00000	29.37
21	2326	1.43709	5.70	5	1.99658	12.47	5	1.76753	15.60	46	1.96779	15.02	4	1.00000	26.43
22	2300	1.24177	17.65	7	1.99590	28.38	5	1.91678	35.19	92	1.82427	31.76	5	1.39923	22.81
23	2354	1.45262	5.87	5	1.99658	21.21	4	1.99795	19.78	43	1.96976	16.01	4	1.00000	44.56
24	2292	1.51433	16.42	8	1.85046	31.40	8	1.77820	29.54	33	1.81366	17.51	5	1.39923	22.92
25	2288	1.38682	5.63	10	1.84251	12.09	6	1.74389	14.77	68	1.79673	15.15	6	1.15968	22.36
26	2540	1.10597	5.81	9	1.54203	13.72	5	1.76753	38.62	11	1.54319	37.96	6	1.00000	46.04
27	2680	1.01140	5.77	10	1.98367	12.71	7	1.89307	14.95	63	1.94754	14.92	5	1.76753	22.71
28	2300	1.24177	11.30	5	1.99658	26.25	4	1.99795	36.39	102	1.92680	37.25	4	1.00000	45.00
29	2340	1.48741	5.94	5	1.99658	12.39	4	1.99795	16.14	7	1.99385	15.18	5	1.00137	29.64
30	2354	1.45262	13.82	5	1.99658	23.74	5	1.76753	32.05	43	1.96976	31.02	4	1.00000	26.48
31	2368	1.27377	5.73	9	1.99522	12.13	7	1.98366	14.52	67	1.92110	15.09	5	1.91678	22.53
