Graph Info:	sphere_Cube	Number of Vertices	110
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	51	1.55556	0.59	8	1.36000	0.86	7	1.05263	1.18	11	1.28302	1.26	6	1.00000	1.30
1	54	1.15789	0.35	8	1.45833	0.71	7	1.01724	0.95	8	1.45833	0.86	6	1.36735	1.30
2	51	1.55556	0.33	8	1.00000	0.64	7	1.05263	0.91	11	1.01667	1.69	6	1.00000	1.30
3	54	1.15789	0.32	8	1.40816	0.62	7	1.01724	0.96	8	1.36000	0.87	6	1.36735	3.14
4	54	1.15789	0.34	8	1.45833	0.62	7	1.01724	9.12	8	1.45833	1.90	6	1.36735	1.31
5	54	1.07595	0.35	7	1.38776	0.62	6	1.00000	0.88	7	1.38776	0.85	11	1.20000	1.22
6	51	1.55556	0.34	8	1.00000	5.39	7	1.05263	16.97	11	1.01667	16.11	6	1.00000	9.08
7	54	1.07595	0.43	7	1.38776	15.80	6	1.00000	0.88	7	1.38776	1.27	11	1.20000	3.35
8	54	1.15789	0.34	8	1.40816	0.60	7	1.01724	0.85	8	1.36000	4.35	6	1.36735	1.69
9	54	1.15789	0.35	8	1.40816	1.25	7	1.01724	4.76	8	1.36000	1.01	6	1.36735	1.24
10	54	1.15789	0.26	8	1.00000	0.56	7	1.01724	4.41	8	1.00000	2.54	11	1.46939	3.06
11	54	1.15789	1.45	8	1.45833	0.60	7	1.01724	0.83	8	1.45833	1.41	6	1.36735	7.12
12	51	1.55556	0.29	8	1.00000	0.54	7	1.05263	0.92	11	1.01667	0.96	6	1.00000	1.07
13	52	1.34783	0.41	7	1.01724	0.68	6	1.00000	0.78	7	1.01724	0.88	7	1.01724	1.35
14	54	1.15789	0.55	8	1.45833	0.79	7	1.01724	1.15	8	1.45833	0.86	6	1.36735	1.07
15	51	1.55556	0.25	8	1.00000	0.56	7	1.05263	0.77	11	1.01667	0.94	6	1.00000	0.95
16	51	1.55556	0.25	8	1.00000	0.55	7	1.05263	0.76	11	1.01667	0.81	6	1.00000	1.00
17	56	1.44118	0.25	8	1.03448	0.53	7	1.01724	0.77	8	1.00000	0.80	6	1.00000	0.96
18	54	1.15789	0.26	8	1.03448	0.56	7	1.01724	0.80	8	1.00000	0.80	11	1.46939	1.45
19	56	1.44118	0.63	8	1.36000	1.25	7	1.34000	0.87	8	1.31373	0.91	6	1.00000	1.00
20	54	1.07595	0.25	7	1.38776	0.54	6	1.00000	0.74	7	1.38776	0.75	11	1.20000	1.10
21	51	1.55556	0.26	8	1.03448	0.53	7	1.05263	0.77	11	1.05085	4.24	6	1.00000	1.77
22	56	1.44118	0.25	8	1.03448	0.69	7	1.01724	0.77	8	1.00000	0.80	6	1.00000	0.95
23	52	1.34783	0.26	7	1.01724	0.53	6	1.00000	0.77	7	1.01724	0.78	8	1.03448	1.19
24	56	1.44118	0.39	8	1.03448	0.56	7	1.01724	2.25	8	1.00000	0.93	6	1.00000	1.09
25	56	1.44118	0.26	7	1.85366	0.53	7	1.38776	0.93	7	1.78571	0.76	6	1.00000	1.12
26	54	1.15789	0.25	8	1.03448	0.79	7	1.01724	0.70	8	1.00000	0.91	11	1.46939	1.40
27	54	1.15789	0.25	8	1.45833	0.51	7	1.01724	0.93	8	1.45833	0.77	6	1.36735	1.11
28	51	1.55556	0.26	8	1.36000	0.60	7	1.05263	0.88	11	1.28302	0.81	6	1.00000	1.10
29	54	1.15789	0.25	8	1.03448	0.94	7	1.01724	1.09	8	1.03448	1.21	12	1.44000	2.59
30	54	1.07595	0.29	7	1.38776	0.64	6	1.00000	0.93	7	1.38776	1.83	11	1.20000	2.87
31	54	1.15789	0.29	8	1.45833	0.54	7	1.01724	1.55	8	1.45833	0.78	6	1.36735	3.19
